# wavelength (nm)	photon flux (phot/s/cm^2/nm)
292.50	29685855792377.65
293.50	33692455926543.59
294.50	30450972533382.95
295.50	34196315201288.21
296.50	30450950613517.09
297.50	32690923522756.60
298.50	24280108963050.21
299.50	33838487199254.75
300.50	22411063493312.89
301.50	30557373749947.21
302.50	30103582264631.75
303.50	39508796347820.98
304.50	37233776518815.73
305.50	39050697738822.67
306.50	35572049335370.99
307.50	41207549563663.70
308.50	41467996428086.29
309.50	31475523503821.71
310.50	41675292253014.15
311.50	47692661221008.30
312.50	44490130286627.58
313.50	46148719383339.84
314.50	45369422395086.67
315.50	42165889786679.43
316.50	44211630867588.80
317.50	50030697149814.22
318.50	46299056794097.95
319.50	49132986902763.90
320.50	52435690432755.03
321.50	49408693047048.18
322.50	47004864961299.96
323.50	47334239395462.02
324.50	53288811112877.31
325.50	61612742893743.44
326.50	67940517931334.34
327.50	67140329528715.82
328.50	67304995476904.02
329.50	72815802529366.25
330.50	72742969274241.70
331.50	69475065831948.41
332.50	68211633927662.70
333.50	67396290146442.56
334.50	69075953590666.94
335.50	67329074513838.25
336.50	62012723979263.41
337.50	62896972267884.87
338.50	67624973057468.80
339.50	71960037834389.61
340.50	73245606749308.72
341.50	72349890677196.72
342.50	73320819778868.83
343.50	69935197209747.80
344.50	65852198177241.84
345.50	68532255485870.27
346.50	70728300583525.45
347.50	69969850286069.16
348.50	69687750363639.48
349.50	72281154663160.56
350.50	76733110315889.41
351.50	76329424595003.50
352.50	75380931460923.36
353.50	80307721513667.62
354.50	84463965828892.45
355.50	81572207879121.66
356.50	73703522000304.69
357.50	65496089802821.44
358.50	65468676959701.97
359.50	73177732190812.20
360.50	76418050589587.62
361.50	76231970633944.94
362.50	78013969130965.70
363.50	80866696827327.80
364.50	85562580929388.41
365.50	91854449749787.56
366.50	96296051624800.95
367.50	96457598916458.28
368.50	95671975718051.42
369.50	97085890065208.86
370.50	96669199853968.30
371.50	93805877803108.22
372.50	86994654368799.97
373.50	81208417489396.91
374.50	80163299321007.78
375.50	84881467049996.08
376.50	93906143363137.66
377.50	101201454826256.91
378.50	102983062680276.09
379.50	100302476272985.86
380.50	95229039396562.12
381.50	85870751295992.91
382.50	75884267835856.16
383.50	71791030240044.84
384.50	75932554660675.56
385.50	81624118737072.33
386.50	84432071877525.41
387.50	86025186400058.67
388.50	90030941817970.80
389.50	97350932174165.47
390.50	101916230427821.62
