# AU: 0.72333199
# Source data: solarmean_2004-02-07_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
280.50	23361385789188.93
281.50	54943070626192.09
282.50	76853154830874.53
283.50	85427354329154.12
284.50	65532740978647.13
285.50	33460099424007.62
286.50	89314730846303.08
287.50	97755345536893.78
288.50	80886921299431.69
289.50	120806267300374.28
290.50	161872687908728.19
291.50	150725066287784.94
292.50	131778379378115.17
293.50	149564064122703.06
294.50	135174806446612.64
295.50	151800744079813.38
296.50	135174709142212.22
297.50	145118165106390.84
298.50	107781747396898.55
299.50	150212311038371.94
300.50	99484874141547.28
301.50	135647131717636.12
302.50	133632707510744.47
303.50	175383360692356.34
304.50	165284328068329.16
305.50	173349816747678.59
306.50	157907760697846.44
307.50	182924290194701.88
308.50	184080438966283.94
309.50	139722887102227.84
310.50	185000645142986.34
311.50	211712326836395.28
312.50	197495982884831.12
313.50	204858619985395.19
314.50	201399245430573.78
315.50	187178454951316.38
316.50	196259697080731.12
317.50	222091094010254.56
318.50	205525982263517.31
319.50	218106071569439.72
320.50	232767091342376.94
321.50	219329957757275.34
322.50	208659132847965.03
323.50	210121257755059.81
324.50	236554176391457.31
325.50	273504913059058.34
326.50	301594517258278.75
327.50	298042403698483.44
328.50	298773371737362.56
329.50	323236376190325.81
330.50	322913062340380.88
331.50	308406523515916.50
332.50	302798027336260.25
333.50	299178637587934.38
334.50	306634825751368.94
335.50	298880260906614.44
336.50	275280467707048.53
337.50	279205731214941.94
338.50	300193783104279.69
339.50	319437554104085.50
340.50	325144318610784.44
341.50	321168148505014.44
342.50	325478196509163.69
343.50	310449091117521.38
344.50	292324264288570.69
345.50	304221297382095.62
346.50	313969753550388.44
347.50	310602919468303.38
348.50	309350650682101.88
349.50	320863022703759.19
350.50	340625683584517.25
351.50	338833683702536.81
352.50	334623231124226.88
353.50	356493727741459.81
354.50	374943697450618.81
355.50	362106904776027.25
356.50	327177048611590.62
357.50	290743464840095.75
358.50	290621776583382.06
359.50	324843016893824.25
360.50	339227103047384.12
361.50	338401076162363.62
362.50	346311539503357.44
363.50	358975073115556.31
364.50	379820555928818.94
365.50	407750768963970.44
366.50	427467468426020.31
367.50	428184592447521.25
368.50	424697135235171.25
369.50	430973637504501.75
370.50	429123909434539.62
371.50	416413346460072.62
372.50	386177668161525.94
373.50	360492004120086.94
374.50	355852623687459.94
375.50	376797025671648.19
376.50	416858434959475.50
377.50	449243026745954.75
378.50	457151755984956.62
379.50	445252374171399.06
380.50	422730898148331.06
381.50	381188553933239.88
382.50	336857589878598.12
383.50	318687313078827.12
384.50	337071939755001.19
385.50	362337342085320.69
386.50	374802117121841.81
387.50	381874106267496.75
388.50	399656041235095.12
389.50	432150185010140.00
390.50	452415984637146.88
391.50	433049407831863.31
392.50	389410076063370.44
393.50	364177068218847.75
394.50	370706766932807.38
395.50	389635248153957.06
396.50	410851452446560.44
397.50	453739301371070.88
398.50	524923566813154.56
399.50	598286855875200.75
400.50	649491927151028.25
401.50	670988235665647.50
402.50	676273924533853.75
403.50	671972851015929.38
404.50	663271987078911.62
405.50	655148683364365.25
406.50	656353715906590.62
407.50	660609777699905.25
408.50	668324187032502.88
409.50	676771929501025.25
410.50	683439730319738.38
411.50	696766364370358.62
412.50	705409297925874.38
413.50	713310584554641.25
414.50	716367878832511.12
415.50	714020185241153.62
416.50	712276250275583.25
417.50	706238625372115.75
418.50	705951702237021.88
419.50	706443043731628.12
420.50	707771662857439.75
421.50	710460623443796.25
422.50	706902580432694.75
423.50	704155627937925.88
424.50	700286557526741.12
425.50	694832233840011.12
426.50	686506196191775.00
427.50	665737722044901.88
428.50	644792675379524.25
429.50	629934103084235.25
430.50	627698769559417.25
431.50	644607017153402.50
432.50	672887433301520.75
433.50	701894523118919.38
434.50	726853239681554.25
435.50	741503800530194.12
436.50	749083280587221.50
437.50	750454539669775.75
438.50	753767600352514.50
439.50	762794116062506.38
440.50	776573161218899.25
441.50	794908925475844.50
442.50	811321019718379.25
443.50	822373080821471.50
444.50	830921621627980.88
445.50	837189546731603.25
446.50	846505331475793.62
447.50	861479010232073.88
448.50	875808726059907.00
449.50	886546892040541.00
450.50	894488459084891.62
451.50	895393421596383.12
452.50	892181755628355.50
453.50	891103383930274.38
454.50	893008061893684.50
455.50	896015694151314.12
456.50	901376318567794.62
457.50	907502517531385.38
458.50	912316019643193.88
459.50	916780451753979.38
460.50	920886286549191.00
461.50	923973452769129.88
462.50	924988867466707.50
463.50	923544654941336.12
464.50	920504726917783.25
465.50	916925358983619.62
466.50	912916523411591.50
467.50	911259939134070.25
468.50	912507949421069.38
469.50	915355385756908.50
470.50	919944412272841.12
471.50	926227281179588.50
472.50	932802930837785.88
473.50	939048317439195.25
474.50	945484778053140.75
475.50	951590226186302.50
476.50	956797757573583.88
477.50	962035773908797.25
478.50	966751789281475.00
479.50	969130398904229.50
480.50	968374117099865.25
481.50	961033409265231.50
482.50	949612093642588.75
483.50	935933126583268.88
484.50	922086525442579.00
485.50	910555413227130.62
486.50	903842835712240.50
487.50	903796062521941.38
488.50	909009489888144.75
489.50	916818957159732.25
490.50	925734860434557.62
491.50	934239778982229.00
492.50	941672440737065.25
493.50	946431603500070.62
494.50	949546846871777.50
495.50	950126830325912.38
496.50	948710685059121.12
497.50	946612507319793.75
498.50	943483886349640.88
499.50	940357992493152.88
500.50	938332436703506.25
501.50	937821872167402.38
502.50	939416058761043.12
503.50	942760875116702.38
504.50	947133382374910.25
505.50	951658964323917.00
506.50	955420549795520.00
507.50	957402462807239.75
508.50	957769737390954.50
509.50	956842018435224.50
510.50	954118017150002.12
511.50	947499000787472.88
512.50	938355483560387.12
513.50	929477314975442.38
514.50	921431368619776.12
515.50	914307768600385.12
516.50	908605953436204.50
517.50	905672801412905.12
518.50	909399076927619.88
519.50	915653762354281.38
520.50	922306599612055.25
521.50	928970012380219.25
522.50	936161025698805.75
523.50	943896626354959.50
524.50	950856580776529.62
525.50	955873889759938.38
526.50	959421860490708.12
527.50	963070816491999.50
528.50	968905979337062.25
529.50	974212867258276.75
530.50	978542792033266.00
531.50	981654863119964.38
532.50	983798931144618.50
533.50	985473533167285.00
534.50	986382667572543.12
535.50	986323357056620.25
536.50	984911216460345.75
537.50	983517163487452.50
538.50	982445190325019.25
539.50	981961052352136.88
540.50	982307780104915.50
541.50	983204708636627.25
542.50	984570154889873.38
543.50	986357035475987.00
544.50	988553268448192.38
545.50	990710273292649.38
546.50	992654089418986.38
547.50	994972801681879.38
548.50	996869415641361.38
549.50	998305333313620.00
550.50	998835317041857.00
551.50	998691026666674.75
552.50	998166416742434.12
553.50	997653485462215.75
554.50	996966901481480.38
555.50	996135476826942.25
556.50	995049980088247.25
557.50	994006260470344.62
558.50	993210656675734.38
559.50	993355303199281.25
560.50	994093246800619.50
561.50	995091140382839.00
562.50	995970592985706.25
563.50	997249479539137.50
564.50	998822138041570.00
565.50	1001034481447854.25
566.50	1003291143344772.88
567.50	1005597817457196.88
568.50	1007622199271625.50
569.50	1009573576999628.75
570.50	1011430651637900.50
571.50	1013491156807887.62
572.50	1015640453707953.00
573.50	1017742645986491.38
574.50	1019600148871911.00
575.50	1021144516363025.75
576.50	1022237824422682.62
577.50	1023197870116544.62
578.50	1024081336791113.38
579.50	1024334076805933.88
580.50	1023843495005101.38
581.50	1022810748321497.50
582.50	1021611261488461.88
583.50	1020330898219157.50
584.50	1018984022821001.62
585.50	1017530849694819.12
586.50	1016219049509359.00
587.50	1014982659956360.12
588.50	1014210908139466.00
589.50	1013641119054126.50
590.50	1013991191318323.50
591.50	1014431835259971.25
592.50	1015017332690189.38
593.50	1015707473496906.12
594.50	1016466592954143.75
595.50	1017207216257581.38
596.50	1017940991444261.25
597.50	1018431332947422.50
598.50	1018811862159988.50
599.50	1018670837729403.50
600.50	1018361703087637.38
601.50	1017716502567046.75
602.50	1017007239947830.12
603.50	1016226438652899.12
604.50	1015090673786274.75
605.50	1013714009577939.00
606.50	1011867475495895.88
607.50	1009830234856655.62
608.50	1007886246260502.38
609.50	1005955180920765.50
610.50	1004241267506259.12
611.50	1002541810011566.25
612.50	1000865011772871.38
613.50	999181381871729.25
614.50	997744241594892.62
615.50	996337591823994.50
616.50	995893921965635.62
617.50	995484378877917.50
618.50	995708786901477.75
619.50	995914742228613.75
620.50	995897021493384.50
621.50	995866222754799.75
622.50	995641715912680.50
623.50	995413749444524.25
624.50	995418876367700.88
625.50	995418906840403.50
626.50	995581182606557.38
627.50	995745879835779.25
628.50	995364400217283.12
629.50	994909606636463.62
630.50	994320622319712.00
631.50	993692777113588.88
632.50	993223683617508.38
633.50	992822709433189.62
634.50	992439354331136.62
635.50	992067865744018.12
636.50	991530118342769.38
637.50	990773127832975.00
638.50	989994088362726.50
639.50	989167698469657.00
640.50	988344136659301.75
641.50	987617092186487.50
642.50	986882970155907.38
643.50	985008490180985.88
644.50	982983124380496.00
645.50	980788109331995.62
646.50	978506810135747.75
647.50	976321395735967.12
648.50	974261767285919.38
649.50	972248623776086.00
650.50	970470109146465.62
651.50	968681524007332.50
652.50	967051742572624.38
653.50	965429135692548.00
654.50	964362643629320.00
655.50	963635576117587.62
656.50	963379679193660.25
657.50	964235286613213.12
658.50	965089032920422.75
659.50	966451503697826.00
660.50	967829477015994.25
661.50	969120909098828.00
662.50	970356571792409.12
663.50	971549278763694.38
664.50	972599462546737.00
665.50	973648399992799.75
666.50	974584301624914.38
667.50	975497296286209.62
668.50	976099197501404.62
669.50	976270555370747.38
670.50	976438063275758.50
671.50	975818883536035.75
672.50	975177522151985.50
673.50	974476049851935.50
674.50	973716342775562.50
675.50	972949099716656.38
676.50	972143153388098.12
677.50	971330566156408.38
678.50	970467120415720.38
679.50	969556027024439.50
680.50	968638042077535.88
681.50	967697385228505.62
682.50	966749790513224.88
683.50	965787278163981.38
684.50	964807633671853.62
685.50	963820998245923.88
686.50	962740583390404.12
687.50	961639937471165.25
688.50	960519029627225.75
689.50	959355656480993.00
690.50	958184862123697.38
691.50	957038925810624.00
692.50	955903067919462.75
693.50	954760350846903.25
694.50	953651838604061.50
695.50	952536169444021.12
696.50	951429293343253.25
697.50	950346312297975.38
698.50	949256309042449.88
699.50	948201231743193.38
700.50	947161871936426.62
701.50	946115674438756.62
702.50	945090370320833.12
703.50	944060080049683.12
704.50	943011658097607.12
705.50	941910873624922.50
706.50	940803173946027.25
707.50	939676770140038.00
708.50	938527768540194.75
709.50	937371774232811.50
710.50	936220983286934.25
711.50	935069810321513.88
712.50	933911697465395.62
713.50	932700165197045.12
714.50	931472029507481.25
715.50	930236796956165.88
716.50	929093865007980.50
717.50	927945119066914.75
718.50	926811693235921.50
719.50	925819864323211.25
720.50	924821692798350.88
721.50	923837360293015.38
722.50	922910738196642.75
723.50	921978006586199.00
724.50	921024572917572.38
725.50	920033937494794.12
726.50	919037066673333.38
727.50	918083029877323.62
728.50	917203063269756.25
729.50	916317216260244.75
730.50	915482232440259.62
