# λ (nm)	photon flux (γ/s/cm^2/nm)
223.5	1.3584403585843277e13
224.5	1.2495302963071404e13
225.5	1.1085129619541422e13
226.5	7.829091720716456e12
227.5	7.977776024771162e12
228.5	1.144412267754477e13
229.5	9.758438922284574e12
230.5	1.1948490984395818e13
231.5	1.033650099072981e13
232.5	1.1239450776068963e13
233.5	9.43704320642336e12
234.5	7.717775696906282e12
235.5	1.240179861250909e13
236.5	9.604588734009885e12
237.5	1.169121997644463e13
238.5	8.069689243513714e12
239.5	1.002872602694817e13
240.5	9.271136123238014e12
241.5	1.0848058066153674e13
242.5	1.6376714368109537e13
243.5	1.5031035564453477e13
244.5	1.4382214844355361e13
245.5	1.1381294193091018e13
246.5	1.1421482617452105e13
247.5	1.3217011155918066e13
248.5	1.0245081310542254e13
249.5	1.314996583072827e13
250.5	1.3847637338941672e13
251.5	1.0742700635746816e13
252.5	9.51034824177475e12
253.5	1.2207044256525504e13
254.5	1.36321364736687e13
255.5	1.9427617546925344e13
256.5	2.344272145779237e13
257.5	2.926511026190883e13
258.5	3.123283326720907e13
259.5	2.6313400168511027e13
260.5	2.132918699183089e13
261.5	2.083461850642857e13
262.5	2.6531221988360824e13
263.5	3.906038790566049e13
264.5	6.1571254474021805e13
265.5	6.45459539362144e13
266.5	6.312195215249985e13
267.5	6.348624273960241e13
268.5	6.3812237862100234e13
269.5	5.6906169795838945e13
270.5	7.237141847915348e13
271.5	6.0842285419299555e13
272.5	4.795539510929171e13
273.5	5.541472956387972e13
274.5	3.258304217605455e13
275.5	4.675320629755733e13
276.5	6.552364233869352e13
277.5	6.531134839284471e13
278.5	4.3194258682938336e13
279.5	2.0880624893479203e13
280.5	2.401042316170053e13
281.5	5.656327971859901e13
282.5	7.962677203813948e13
283.5	8.916003639253355e13
284.5	6.8958712246925086e13
285.5	3.4856394846807203e13
286.5	9.411778542624022e13
287.5	1.0336282140007875e14
288.5	8.551162528027781e13
289.5	1.2782098338469428e14
290.5	1.712909194957545e14
291.5	1.5993211230564234e14
292.5	1.4068769309597555e14
293.5	1.5918068193205128e14
294.5	1.4427413861377047e14
295.5	1.617507740102826e14
296.5	1.455312441853441e14
297.5	1.555488360857086e14
298.5	1.1565768763927923e14
299.5	1.629765070060312e14
300.5	1.075422863020052e14
301.5	1.4700300414215756e14
302.5	1.439954170059355e14
303.5	1.894042993474545e14
304.5	1.788932572127614e14
305.5	1.888029208786937e14
306.5	1.6906773334592547e14
307.5	1.9597282073657872e14
308.5	1.9830756371616878e14
309.5	1.4987864352369966e14
310.5	1.8170875728662784e14
311.5	2.0804740155180322e14
312.5	1.9333541411771388e14
313.5	2.019590296397734e14
314.5	1.9746639557036006e14
315.5	1.839904734724594e14
316.5	1.9418349465841706e14
317.5	2.1818673627384925e14
318.5	2.017566785069108e14
319.5	2.143286883724941e14
320.5	2.2820023379033184e14
321.5	2.1541547480168928e14
322.5	2.0497458338708088e14
323.5	2.0638433624267278e14
324.5	2.3252086005490616e14
325.5	2.6978004594741328e14
326.5	2.965049058835007e14
327.5	2.93867535227996e14
328.5	2.9467053831123256e14
329.5	3.1883907990042806e14
330.5	3.181996168798282e14
331.5	3.042355419630286e14
332.5	2.9880656088183425e14
333.5	2.9552151129026125e14
334.5	3.028634169688257e14
335.5	2.9535802035114956e14
336.5	2.721456550676552e14
337.5	2.7548794920852847e14
338.5	2.973643246188309e14
339.5	3.1639649477428006e14
340.5	3.216484121615665e14
341.5	3.1706126459692906e14
342.5	3.2237714754891425e14
343.5	3.0712416115644e14
344.5	2.899112040235224e14
345.5	3.0182692972468694e14
346.5	3.1125895141439975e14
347.5	3.085832528446581e14
348.5	3.067467961800265e14
349.5	3.183528841514513e14
350.5	3.3792976975812494e14
351.5	3.3621889224226594e14
352.5	3.317440954326551e14
353.5	3.538531594429144e14
354.5	3.72408671804297e14
355.5	3.5942740784390706e14
356.5	3.2479729333585594e14
357.5	2.8940776088611044e14
358.5	2.897209801675177e14
359.5	3.2303318401117394e14
360.5	3.37043509314679e14
361.5	3.3621999484347294e14
362.5	3.4441734821697725e14
363.5	3.5700030728637975e14
364.5	3.778045821698172e14
365.5	4.056371454381156e14
366.5	4.25160595595932e14
367.5	4.2610437261549194e14
368.5	4.2314118281065544e14
369.5	4.2920264463867594e14
370.5	4.275499159624221e14
371.5	4.1490234166903475e14
372.5	3.843539639352206e14
373.5	3.595987520818865e14
374.5	3.550262349576403e14
375.5	3.7584787950947806e14
376.5	4.1564676890266594e14
377.5	4.477776411330812e14
378.5	4.557987333329272e14
379.5	4.436290224495726e14
380.5	4.2116760292090875e14
381.5	3.8011749940014444e14
382.5	3.369290519700544e14
383.5	3.190529580577779e14
384.5	3.372660661876434e14
385.5	3.622947014688285e14
386.5	3.747748850197205e14
387.5	3.8215590986728625e14
388.5	3.9945534105002906e14
389.5	4.3167822013704175e14
390.5	4.51254241699706e14
391.5	4.321958055843564e14
392.5	3.893119249529333e14
393.5	3.6481666235727156e14
394.5	3.713165656387322e14
395.5	3.9014507577058025e14
396.5	4.1127455567065856e14
397.5	4.5396697987643675e14
398.5	5.252604826323052e14
399.5	5.977567141115406e14
400.5	6.485203300610092e14
401.5	6.699629002766001e14
402.5	6.754086729757938e14
403.5	6.714833990766225e14
404.5	6.62780611838697e14
405.5	6.544859491091261e14
406.5	6.564866983920129e14
407.5	6.607433473946992e14
408.5	6.68404017027037e14
409.5	6.772198094801134e14
410.5	6.83744518492324e14
411.5	6.969816391838371e14
412.5	7.054863473027508e14
413.5	7.1331289654865e14
414.5	7.164122005778536e14
415.5	7.139790756280315e14
416.5	7.122896499695871e14
417.5	7.064638003014492e14
418.5	7.059806475949525e14
419.5	7.06975855334377e14
420.5	7.08068794634757e14
421.5	7.106630265132612e14
422.5	7.071681271301589e14
423.5	7.044532197612371e14
424.5	7.00684351971049e14
425.5	6.952832148078084e14
426.5	6.87107243479401e14
427.5	6.663225097057829e14
428.5	6.455760853963571e14
429.5	6.307363824157168e14
430.5	6.287154315236662e14
431.5	6.454557536030314e14
432.5	6.738306757227508e14
433.5	7.030239352933348e14
434.5	7.276232108120186e14
435.5	7.42366794398453e14
436.5	7.498368150034214e14
437.5	7.514503052134044e14
438.5	7.54713318864008e14
439.5	7.63546965081532e14
440.5	7.773423613634665e14
441.5	7.957662968318432e14
442.5	8.120295108331445e14
443.5	8.230669234963999e14
444.5	8.314702655732899e14
445.5	8.377801791165196e14
446.5	8.468060429199974e14
447.5	8.623568367463728e14
448.5	8.767110000836231e14
449.5	8.875423428059801e14
450.5	8.952694711124825e14
451.5	8.963160446629966e14
452.5	8.933319240150878e14
453.5	8.922657211659351e14
454.5	8.941380544874459e14
455.5	8.970369959785209e14
456.5	9.022141869008781e14
457.5	9.085005347762168e14
458.5	9.134102333555245e14
459.5	9.178459874101166e14
460.5	9.220799852736001e14
461.5	9.251745678788169e14
462.5	9.260677060280114e14
463.5	9.247613276728405e14
464.5	9.216998424117281e14
465.5	9.181825046045319e14
466.5	9.139795612037836e14
467.5	9.125506297100642e14
468.5	9.139042133856071e14
469.5	9.166995883768041e14
470.5	9.210122559669876e14
471.5	9.27291883112888e14
472.5	9.34026455089301e14
473.5	9.404035587183972e14
474.5	9.467600494583659e14
475.5	9.530749540287002e14
476.5	9.58285560601221e14
477.5	9.632730452411656e14
478.5	9.681946773598259e14
479.5	9.705274236264365e14
480.5	9.697574571143974e14
481.5	9.626949096247479e14
482.5	9.513161482656038e14
483.5	9.37737211387909e14
484.5	9.24045727472872e14
485.5	9.124346561976311e14
486.5	9.055648850912478e14
487.5	9.053855810839048e14
488.5	9.105730289835594e14
489.5	9.183457094223049e14
490.5	9.273393263973556e14
491.5	9.357770010306186e14
492.5	9.431028923499025e14
493.5	9.477254126786406e14
494.5	9.50884425740929e14
495.5	9.515417755400109e14
496.5	9.501483133726351e14
497.5	9.479679460734228e14
498.5	9.447923550960774e14
499.5	9.416366953517219e14
500.5	9.396184795560771e14
501.5	9.391978007903036e14
502.5	9.40851080200534e14
503.5	9.441877088060722e14
504.5	9.484820618589215e14
505.5	9.530370507212931e14
506.5	9.568947338075689e14
507.5	9.588705818497652e14
508.5	9.593271930653274e14
509.5	9.585229424299755e14
510.5	9.557565712659626e14
511.5	9.492492295434765e14
512.5	9.402495668387245e14
513.5	9.311636200312031e14
514.5	9.229935478729051e14
515.5	9.159135793832651e14
516.5	9.103029987928475e14
517.5	9.07277277958858e14
518.5	9.107631030519506e14
519.5	9.16987447611935e14
520.5	9.236129595460408e14
521.5	9.301759239941204e14
522.5	9.372174427629021e14
523.5	9.45040502047874e14
524.5	9.520491538265346e14
525.5	9.57136011040198e14
526.5	9.607553071189041e14
527.5	9.644075172930564e14
528.5	9.70190896317537e14
529.5	9.754281777134886e14
530.5	9.797872057180116e14
531.5	9.830879995851804e14
532.5	9.851861615549505e14
533.5	9.868165937404666e14
534.5	9.876639369420621e14
535.5	9.87523365148295e14
536.5	9.86121447346236e14
537.5	9.848711230150029e14
538.5	9.839013871111538e14
539.5	9.833400535962722e14
540.5	9.835799586733368e14
541.5	9.84423871197635e14
542.5	9.858012258669575e14
543.5	9.877075404613228e14
544.5	9.898821106906441e14
545.5	9.919360788029208e14
546.5	9.937012155260571e14
547.5	9.959687007943441e14
548.5	9.979531047996849e14
549.5	9.995843894144712e14
550.5	1.0002278636334176e15
551.5	1.0000452120709694e15
552.5	9.994277315554304e14
553.5	9.989753534380111e14
554.5	9.983353033971579e14
555.5	9.975270267706182e14
556.5	9.963990431249866e14
557.5	9.953209302566272e14
558.5	9.945071785756591e14
559.5	9.946856948502601e14
560.5	9.953802388609799e14
561.5	9.963321440889216e14
562.5	9.973750018451101e14
563.5	9.986037740450404e14
564.5	9.999902777384915e14
565.5	1.0021871731650986e15
566.5	1.0044421224723461e15
567.5	1.00676265692354e15
568.5	1.0088453114297054e15
569.5	1.0107878576221549e15
570.5	1.0124575253177831e15
571.5	1.0145654162553651e15
572.5	1.016855358638025e15
573.5	1.0189273950313658e15
574.5	1.0207901059126524e15
575.5	1.0223849227720671e15
576.5	1.023535686351985e15
577.5	1.0245297139648184e15
578.5	1.025276414903964e15
579.5	1.0254532794752079e15
580.5	1.02495872188493e15
581.5	1.0239397317177082e15
582.5	1.0227586868756139e15
583.5	1.0214925483992795e15
584.5	1.0201289238591179e15
585.5	1.0186060361906738e15
586.5	1.0172350477742135e15
587.5	1.0159453309887788e15
588.5	1.0152213135144061e15
589.5	1.0147001465268349e15
590.5	1.0150462131588479e15
591.5	1.0154880309787336e15
592.5	1.0160828459859232e15
593.5	1.016712302938396e15
594.5	1.017363764756293e15
595.5	1.0181044102365668e15
