# λ (nm)	photon flux (γ/s/cm^2/nm)
71.5	2.9030154943965423e8
72.5	2.54453147537843e8
73.5	1.8914739982806528e8
74.5	2.952942402009971e8
75.5	4.223734776842996e8
76.5	1.1627550097056983e9
77.5	1.0273182143440439e9
78.5	1.4833889943539848e9
79.5	1.0224161790055116e9
80.5	7.746243209831154e8
81.5	8.184582576677561e8
82.5	9.848917146526872e8
83.5	2.5042831975940094e9
84.5	1.418873034201005e9
85.5	1.7565032683553014e9
86.5	2.0096729446429331e9
87.5	2.467059832095665e9
88.5	2.9292675650033917e9
89.5	3.342395373927848e9
90.5	4.0588581431078963e9
91.5	3.5151024151780853e9
92.5	1.271308090155272e9
93.5	1.3706779275976534e9
94.5	9.864320336836104e8
95.5	8.120036422597175e8
96.5	5.861348503212514e8
97.5	1.1063793670005503e10
98.5	1.2943022810947196e9
99.5	1.8895072319802425e9
100.5	8.370628962743511e8
101.5	1.1330392855084875e9
102.5	8.966665192815758e9
103.5	8.628461336973476e9
104.5	1.3731418417555172e9
105.5	1.3382155830385602e9
106.5	1.4776006836842027e9
107.5	1.703365622812123e9
108.5	2.4297941055939984e9
109.5	1.9047447551392984e9
110.5	2.270330973657895e9
111.5	2.109723522115132e9
112.5	2.2351749009912376e9
113.5	1.4497702959712195e9
114.5	1.8547945198674643e9
115.5	2.045325590520069e9
116.5	2.648612664961018e9
117.5	8.710791323919718e9
118.5	3.5601830803788004e9
119.5	5.789614870570671e9
120.5	1.5834395225033537e10
121.5	7.075269082503152e11
122.5	7.291506815043074e9
123.5	4.742531524954199e9
124.5	3.419599092943847e9
125.5	3.1269856155037675e9
126.5	4.1795017390429688e9
127.5	2.3140308951771317e9
128.5	1.8640087716958566e9
129.5	2.0779781576359363e9
130.5	1.815883947714546e10
131.5	3.0558769487756677e9
132.5	2.435585691247283e9
133.5	2.1542204845162785e10
134.5	2.317773211768566e9
135.5	5.301519064414714e9
136.5	3.3138177762131257e9
137.5	3.6205169674117146e9
138.5	3.62562429954917e9
139.5	9.08087989824957e9
140.5	8.097513443005808e9
141.5	5.143715070483643e9
142.5	5.633703322233275e9
143.5	6.467545778415206e9
144.5	6.353437932685808e9
145.5	6.849443233816102e9
146.5	8.496815076069594e9
147.5	1.0712548249762903e10
148.5	1.105018397315696e10
149.5	9.990027045513079e9
150.5	1.1282254573233929e10
151.5	1.2252450437878918e10
152.5	1.5224797312473814e10
153.5	1.6974128450033361e10
154.5	2.833900011743391e10
155.5	2.5736108685836075e10
156.5	2.6449267476960224e10
157.5	2.3834234020480946e10
158.5	2.401610399671021e10
159.5	2.3964503538408806e10
160.5	2.684563398566693e10
161.5	3.2004989155912262e10
162.5	3.713842908312955e10
163.5	3.9804812980277565e10
164.5	4.6134248220733215e10
165.5	7.421709780131944e10
166.5	5.1258590398887344e10
167.5	6.030668374017538e10
168.5	6.777882877534796e10
169.5	8.967231286330215e10
170.5	1.0361301034023615e11
171.5	1.0502124390637001e11
172.5	1.15346581468046e11
173.5	1.1785841213387141e11
174.5	1.4522271598758282e11
175.5	1.788352393308884e11
176.5	1.9523487949421445e11
177.5	2.367545504427713e11
178.5	2.6539294823703595e11
179.5	2.6587091198612677e11
180.5	3.3898871858435815e11
181.5	4.012153308770284e11
182.5	3.937538941215698e11
183.5	4.23560956404757e11
184.5	3.6983670571136804e11
185.5	4.2386084926354126e11
186.5	4.923144286820821e11
187.5	5.557927292893901e11
188.5	6.011858542732141e11
189.5	6.618310831753218e11
190.5	7.059965480622744e11
191.5	7.586426783229988e11
192.5	8.134703198263047e11
193.5	6.386733280094806e11
194.5	1.0486932525447201e12
195.5	1.0279281175904075e12
196.5	1.16656715284567e12
197.5	1.1961738550440642e12
198.5	1.2164369831352163e12
199.5	1.3241949816522065e12
200.5	1.4498818003489216e12
201.5	1.6293221880665706e12
202.5	1.6169274719062756e12
203.5	1.8831261703194e12
204.5	2.091212062329045e12
205.5	2.15559148260992e12
206.5	2.2470177796393047e12
207.5	2.613952537463696e12
208.5	3.017962819925225e12
209.5	4.3929808347832314e12
210.5	5.781946239210355e12
