# AU: 0.72
# Source data: k1 ceti from K. France
# File creation date: Aug 2025

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
4.550000000000000000e+01	3.590624077553651810e+09
4.650000000000000000e+01	5.915520166404667854e+09
4.750000000000000000e+01	1.801931289479981422e+09
4.850000000000000000e+01	7.041788425425641060e+09
4.950000000000000000e+01	2.530629601901379776e+10
5.050000000000000000e+01	1.061888916348299789e+10
5.150000000000000000e+01	1.204310617093098879e+09
5.250000000000000000e+01	1.875351110117690277e+10
5.350000000000000000e+01	7.372256160110303879e+09
5.450000000000000000e+01	5.725519014869626045e+09
5.550000000000000000e+01	5.846133013022313690e+10
5.650000000000000000e+01	3.556650277739113331e+09
5.750000000000000000e+01	3.600285281717782974e+09
5.850000000000000000e+01	5.998700220316740036e+09
5.950000000000000000e+01	9.053455694782611847e+09
6.050000000000000000e+01	2.524007711571258163e+10
6.150000000000000000e+01	1.437967415170438957e+10
6.250000000000000000e+01	3.746178323731740570e+10
6.350000000000000000e+01	2.313682819026675797e+10
6.450000000000000000e+01	1.600138255172914267e+09
6.550000000000000000e+01	4.948359944329894066e+09
6.650000000000000000e+01	7.242671565074973106e+09
6.750000000000000000e+01	2.985021210248397827e+09
6.850000000000000000e+01	1.524774660435905457e+10
6.950000000000000000e+01	3.198562737395856380e+09
7.050000000000000000e+01	4.341930779159854889e+10
7.150000000000000000e+01	5.634526875284235001e+09
7.250000000000000000e+01	2.281039822093967438e+09
7.350000000000000000e+01	1.382903494263739586e+09
7.450000000000000000e+01	6.245864977321919441e+09
7.550000000000000000e+01	1.869398511657728577e+10
7.650000000000000000e+01	4.034325389848226166e+10
7.750000000000000000e+01	8.784573974487968445e+09
7.850000000000000000e+01	8.015211358896841431e+10
7.950000000000000000e+01	3.160095552051700974e+10
8.050000000000000000e+01	4.841658837557672501e+09
8.150000000000000000e+01	4.323006807730438232e+09
8.250000000000000000e+01	3.737872343304102421e+09
8.350000000000000000e+01	9.703269013187538147e+10
8.450000000000000000e+01	4.043007516999989986e+09
8.550000000000000000e+01	1.380709240346525764e+10
8.650000000000000000e+01	4.516858362924557686e+09
8.750000000000000000e+01	4.557603493861389160e+09
8.850000000000000000e+01	4.658091300276295662e+09
8.950000000000000000e+01	5.983522628849712372e+09
9.050000000000000000e+01	1.217039135830739212e+10
9.150000000000000000e+01	2.909113429843109131e+09
9.250000000000000000e+01	1.767120555658003235e+10
9.350000000000000000e+01	2.374109657991115093e+09
9.450000000000000000e+01	5.254806948378237915e+10
9.550000000000000000e+01	5.268282012045509338e+10
9.650000000000000000e+01	6.616978296249257326e+08
9.750000000000000000e+01	4.064304440290661011e+11
9.850000000000000000e+01	4.222869588520233154e+09
9.950000000000000000e+01	2.229507781334337616e+10
1.005000000000000000e+02	9.055944448150006533e+08
1.015000000000000000e+02	2.039152988910869598e+09
1.025000000000000000e+02	1.737818214040028320e+12
1.035000000000000000e+02	3.206168908939113235e+10
1.045000000000000000e+02	4.244596972302920818e+08
1.055000000000000000e+02	3.412897532578829527e+08
1.065000000000000000e+02	5.392092733730762482e+09
1.075000000000000000e+02	7.858796534211203575e+09
1.085000000000000000e+02	3.925926020080456257e+09
1.095000000000000000e+02	8.831956902535369396e+08
1.105000000000000000e+02	1.187980985815889168e+10
1.115000000000000000e+02	3.109222524144585419e+10
1.125000000000000000e+02	4.409708951015974998e+09
1.135000000000000000e+02	1.099918613853667736e+09
1.145000000000000000e+02	1.870595366451747417e+09
1.155000000000000000e+02	5.223842296469493866e+10
1.165000000000000000e+02	3.097735747647173691e+10
1.175000000000000000e+02	6.824284957467673492e+10
1.185000000000000000e+02	6.755242171781688690e+10
1.195000000000000000e+02	2.931589915355184174e+10
1.205000000000000000e+02	1.207102746328107452e+11
1.215000000000000000e+02	3.592205100597757812e+12
1.225000000000000000e+02	2.957338346852988434e+10
1.235000000000000000e+02	2.350372880389723969e+10
1.245000000000000000e+02	1.757394240714732361e+10
1.255000000000000000e+02	1.391823274028691292e+10
1.265000000000000000e+02	2.374162985336541748e+10
1.275000000000000000e+02	1.185324114127956963e+10
1.285000000000000000e+02	9.437739109118112564e+09
1.295000000000000000e+02	1.601782586980947304e+10
1.305000000000000000e+02	7.963521458134236145e+10
1.315000000000000000e+02	1.170031224482853508e+10
1.325000000000000000e+02	1.093598831320221710e+10
1.335000000000000000e+02	1.178880734984633484e+11
1.345000000000000000e+02	9.943152465006885529e+09
1.355000000000000000e+02	1.945160163739677429e+10
1.365000000000000000e+02	1.305966932510175133e+10
1.375000000000000000e+02	1.337619759099818611e+10
1.385000000000000000e+02	1.274158575010377693e+10
1.395000000000000000e+02	7.790184973716589355e+10
1.405000000000000000e+02	5.202325275371382904e+10
1.415000000000000000e+02	1.618774878280454636e+10
1.425000000000000000e+02	1.734921447224248886e+10
1.435000000000000000e+02	1.967559893068330765e+10
1.445000000000000000e+02	1.925677652597425461e+10
1.455000000000000000e+02	1.911215865629215622e+10
1.465000000000000000e+02	2.496725657289301300e+10
1.475000000000000000e+02	2.778700785815050125e+10
1.485000000000000000e+02	3.003958975015575790e+10
1.495000000000000000e+02	2.614655526592714691e+10
1.505000000000000000e+02	3.070173565198484421e+10
1.515000000000000000e+02	3.356130129807916260e+10
1.525000000000000000e+02	4.411213365385887909e+10
1.535000000000000000e+02	5.235727328717020416e+10
1.545000000000000000e+02	1.402378060647520142e+11
1.555000000000000000e+02	1.028848146734041748e+11
1.565000000000000000e+02	6.788094475539537048e+10
1.575000000000000000e+02	4.975497284982498169e+10
1.585000000000000000e+02	5.167740479745520020e+10
1.595000000000000000e+02	4.527344838428215027e+10
1.605000000000000000e+02	5.318372815205427551e+10
1.615000000000000000e+02	5.431530827047711945e+10
1.625000000000000000e+02	6.870597456722459412e+10
1.635000000000000000e+02	9.662289343693737793e+10
1.645000000000000000e+02	1.376483992521999512e+11
1.655000000000000000e+02	1.711267498677918396e+11
1.665000000000000000e+02	7.892460393606861877e+10
1.675000000000000000e+02	1.776323034204284973e+11
1.685000000000000000e+02	1.008422840499533081e+11
1.695000000000000000e+02	1.704364928102817078e+11
1.705000000000000000e+02	1.586845408521101074e+11
1.715000000000000000e+02	1.951858948276821289e+11
1.725000000000000000e+02	2.517618470639587097e+11
1.735000000000000000e+02	2.146107396273788452e+11
1.745000000000000000e+02	3.250766088559370728e+11
1.755000000000000000e+02	3.408220046060758057e+11
1.765000000000000000e+02	2.160712896220608826e+11
1.775000000000000000e+02	3.259156735426551514e+11
1.785000000000000000e+02	3.413265354987157593e+11
1.795000000000000000e+02	2.196850499363876648e+11
1.805000000000000000e+02	3.753916439488168335e+11
1.815000000000000000e+02	4.065864005158524170e+11
1.825000000000000000e+02	2.820586735563114014e+11
1.835000000000000000e+02	3.372776164268753662e+11
1.845000000000000000e+02	2.270139805153594360e+11
1.855000000000000000e+02	2.886122527773193359e+11
1.865000000000000000e+02	3.030255775902803345e+11
1.875000000000000000e+02	3.072253090270260010e+11
1.885000000000000000e+02	3.429554867395621948e+11
