wavelength (nm)	photon flux (phot/s/cm^2/nm)
292.50	24722168669668.08
293.50	28058836643855.26
294.50	25359352426653.68
295.50	28478447048996.80
296.50	25359334171945.96
297.50	27224767611527.82
298.50	20220301321297.04
299.50	28180450444725.98
300.50	18663773603945.88
301.50	25447962599826.96
302.50	25070048292107.77
303.50	32902643402896.01
304.50	31008023138859.40
305.50	32521142153337.81
306.50	29624148609540.90
307.50	34317352947533.36
308.50	34534251235956.45
309.50	26212591156876.27
310.50	34706885718325.00
311.50	39718107615204.77
312.50	37051062727453.24
313.50	38432323880555.03
314.50	37783330914945.26
315.50	35115451840219.00
316.50	36819130400487.98
317.50	41665207237056.52
318.50	38557523802434.24
319.50	40917600555299.14
320.50	43668068465182.14
321.50	41147206663000.10
322.50	39145315802773.94
323.50	39419616478953.92
324.50	44378541274087.33
325.50	51310652206668.96
326.50	56580378061202.20
327.50	55913986874928.00
328.50	56051119500435.96
329.50	60640480252230.40
330.50	60579825237581.56
331.50	57858338592170.18
332.50	56806161526471.05
333.50	56127149049146.26
334.50	57525960768330.48
335.50	56071172350407.84
336.50	51643753597784.69
337.50	52380149256715.90
338.50	56317594544058.11
339.50	59927805526639.64
340.50	60998418136678.43
341.50	60252472189566.09
342.50	61061055010479.42
343.50	58241532717066.66
344.50	54841240286028.78
345.50	57073172870074.45
346.50	58902023541927.72
347.50	58270391551513.99
348.50	58035460751041.76
349.50	60195229328030.70
350.50	63902786197080.27
351.50	63566599612092.54
352.50	62776701304738.62
353.50	66879696870568.37
354.50	70340987449892.69
355.50	67932752083996.88
356.50	61379766687001.93
357.50	54544675775351.51
358.50	54521846555400.62
359.50	60941892689163.43
360.50	63640406707362.08
361.50	63485440649397.73
362.50	64969476269612.33
363.50	67345207519246.91
364.50	71255906258616.38
365.50	76495729671936.11
366.50	80194663988857.16
367.50	80329199419481.53
368.50	79674938031241.34
369.50	80852435800528.02
370.50	80505419168858.80
371.50	78120865016469.53
372.50	72448526790229.11
373.50	67629790045843.71
374.50	66759423100071.34
375.50	70688679484783.16
376.50	78204365458705.16
377.50	84279848737691.73
378.50	85763559033204.83
379.50	83531185819572.75
380.50	79306063826422.50
381.50	71512548338786.62
382.50	63195876242651.75
383.50	59787057209223.14
384.50	63236089165467.83
385.50	67975983075719.65
386.50	70314426394999.99
387.50	71641160790384.27
388.50	74977125290908.73
389.50	81073160975777.03
390.50	84875108753317.89
391.50	81241858894018.02
392.50	73054939873586.84
393.50	68321123302771.23
394.50	69546121771643.23
395.50	73097183088516.75
396.50	77077430709766.41
397.50	85123368442455.47
398.50	98477830875447.53
399.50	112241087146413.08
400.50	121847370170968.31
401.50	125880166502062.78
402.50	126871783581828.45
403.50	126064884411626.45
404.50	124432566372522.45
405.50	122908601018466.00
406.50	123134670104320.02
407.50	123933124888931.89
408.50	125380379966793.41
409.50	126965211372144.67
410.50	128216118366705.52
411.50	130716249999475.38
412.50	132337700059557.69
413.50	133820014090627.11
414.50	134393575134305.12
415.50	133953138112510.36
416.50	133625968704514.70
417.50	132493285316449.77
418.50	132439457350325.92
419.50	132531635045645.78
420.50	132780889485418.61
421.50	133285349606082.64
422.50	132617846030234.34
423.50	132102506387845.95
424.50	131376652786128.20
425.50	130353399117365.16
426.50	128791400039359.47
427.50	124895148444115.56
428.50	120965771114547.88
429.50	118178241534899.72
430.50	117758883726021.62
431.50	120930940863919.88
432.50	126236463828776.53
433.50	131678313777653.92
434.50	136360672170220.16
435.50	139109177942673.61
436.50	140531119730715.78
