# AU: 0.72333199
# Source data: solarmin_20081029_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
281.50	55782967837091.43
282.50	78190502616643.17
283.50	87264208629854.11
284.50	67155731216387.68
285.50	33971566351620.49
286.50	92046140460717.27
287.50	100942811020809.56
288.50	83120446026746.44
289.50	124424922716171.36
290.50	167051205938286.38
291.50	155680622869844.62
292.50	136571110987847.73
293.50	154915996670185.38
294.50	139871186315967.92
295.50	156804014913063.06
296.50	140635712278633.62
297.50	150575904026319.06
298.50	111705942476151.28
299.50	156843333486744.22
300.50	103167059235029.84
301.50	140877573904038.25
302.50	137817566175476.95
303.50	181387087968175.81
304.50	171161506259976.53
305.50	179937525132538.97
306.50	161540635344139.00
307.50	187171165030630.16
308.50	188572136000536.28
309.50	142296709163284.47
310.50	182199994842169.59
311.50	208302131870377.62
312.50	194074496571951.66
313.50	202532249853409.19
314.50	197391702669087.50
315.50	184291931465243.53
316.50	194562492815223.00
317.50	218679732975826.00
318.50	201832237324571.00
319.50	214877316635471.12
320.50	229039551167152.97
321.50	216538022080278.03
322.50	205191017643812.00
323.50	206516597773910.56
324.50	233524847183432.44
325.50	270031178774168.06
326.50	298804637746927.62
327.50	294478928373336.75
328.50	295136492133839.56
329.50	319006500766037.19
330.50	319370947606066.75
331.50	304981782738507.38
332.50	298626156693675.56
333.50	295764189834213.00
334.50	303209742550894.50
335.50	296071695402108.56
336.50	271749101086061.12
337.50	276101966963378.25
338.50	297586850689503.19
339.50	316367988312459.44
340.50	321427504199043.62
341.50	317399680860256.94
342.50	322568797353861.50
343.50	307689558319911.81
344.50	289629868566190.62
345.50	301147978549839.12
346.50	311510635306813.81
347.50	307343904269765.69
348.50	306039100069118.69
349.50	318503551852643.06
350.50	337778478552578.25
351.50	336029045171259.00
352.50	331578706061848.81
353.50	353879505461921.62
354.50	372127977466009.19
355.50	359510817122071.81
356.50	324469726570440.88
357.50	288764666158745.75
358.50	288448015704674.69
359.50	322547562962292.62
360.50	336792458537503.56
361.50	336413706236219.38
362.50	344086500023838.75
363.50	357131456495551.75
364.50	377573238136234.81
365.50	405806981604034.75
366.50	425459092303684.31
367.50	426055722160468.88
368.50	423238319408995.81
369.50	429010862044815.25
370.50	427062045612739.38
371.50	414892108747127.19
372.50	384549768292250.75
373.50	358712997122657.62
374.50	354049995312214.75
375.50	375218607051029.75
376.50	414872158950958.62
377.50	447237609707637.19
378.50	455434568122927.38
379.50	443553986676689.38
380.50	420940156653407.81
381.50	379455987526283.00
382.50	335955401589937.81
383.50	317414223726137.94
384.50	335577732461299.88
