# AU: 0.72333199
# Source data: solarmax_20150604_and_20020322_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
1051.50	675449638834072.62
1052.50	674443595422392.88
1053.50	673434419638050.25
1054.50	672422111481044.50
1055.50	671406670951376.25
1056.50	670383128250598.38
1057.50	669353127434136.75
1058.50	668319978564941.75
1059.50	667283681643012.62
1060.50	666244236668349.88
1061.50	665179559389912.50
1062.50	664085743035894.75
1063.50	662988688173672.12
1064.50	661888394803244.38
1065.50	660784862924611.75
1066.50	659691545843066.62
1067.50	658627983768459.88
1068.50	657561270181818.50
1069.50	656491405083142.50
1070.50	655418388472432.12
1071.50	654358981476629.12
1072.50	653432193571960.12
1073.50	652502538567540.50
1074.50	651570016463370.75
1075.50	650634627259451.00
1076.50	649696370955780.62
1077.50	648885163233813.38
1078.50	648084190283196.25
1079.50	647280615224912.38
1080.50	646474438058961.88
1081.50	645665658785345.12
1082.50	644978430866621.88
1083.50	644344660842977.25
1084.50	643708621150565.75
1085.50	643070311789387.25
1086.50	642429732759442.00
1087.50	641848479184485.12
1088.50	641337443027830.38
1089.50	640824383459774.88
1090.50	640309300480318.75
1091.50	639792194089462.38
1092.50	639286170816184.12
1093.50	638827498769833.25
1094.50	638366917567538.25
1095.50	637904427209298.38
1096.50	637440027695113.38
1097.50	636973719024984.12
1098.50	636569136728036.75
1099.50	636166113421390.62
1100.50	635761302915591.12
1101.50	635354705210638.00
1102.50	634946320306531.12
1103.50	634498979333476.62
1104.50	634031460150586.62
1105.50	633562053223142.00
1106.50	633090758551142.62
1107.50	632617576134588.38
1108.50	632118740392683.00
1109.50	631577471803825.25
1110.50	631034199581735.38
1111.50	630488923726413.50
1112.50	629941644237859.12
1113.50	629391961578213.38
1114.50	628834961654782.00
1115.50	628275947846329.00
1116.50	627714920152854.50
1117.50	627151878574358.62
1118.50	626586823110841.25
1119.50	625997098610110.50
1120.50	625397761287647.12
1121.50	624796356115232.50
