# AU: 0.72333199
# Source data: solarmax_20150604_and_20020322_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
279.50	20890491202780.27
280.50	24021768332765.65
281.50	56590006448073.53
282.50	79664396504149.58
283.50	89202165423672.77
284.50	68991295945329.85
285.50	34872864850671.23
286.50	94162257044617.75
287.50	103411661392721.08
288.50	85552030399768.09
289.50	127881380109585.14
290.50	171371856211050.69
291.50	160007681868106.62
292.50	140754169473096.47
293.50	159255896435961.50
294.50	144342309623161.78
295.50	161827202909044.69
296.50	145600009190004.03
297.50	155622334505227.78
298.50	115712337082249.31
299.50	163053515076198.28
300.50	107593101134655.69
301.50	147072464568483.50
302.50	144063456316510.06
303.50	189493794820403.62
304.50	178977786110557.44
305.50	188892132194151.81
306.50	169147619582976.91
307.50	196065419903215.47
308.50	198401266072795.91
309.50	149949462719110.41
310.50	181794616537069.31
311.50	208145706081646.84
312.50	193426767082688.22
313.50	202054457351479.16
314.50	197559700466415.84
315.50	184077410857187.66
316.50	194275248350140.22
317.50	218289831743283.28
318.50	201852010605632.06
319.50	214429960874747.44
320.50	228308060739986.78
321.50	215517260821670.66
322.50	205071435978843.44
323.50	206481854957110.41
324.50	232630728544760.12
325.50	269907519784530.41
326.50	296645007490883.38
327.50	294006390650709.38
328.50	294809773161134.00
329.50	318989734633972.50
330.50	318349969460540.44
331.50	304379296375202.62
332.50	298947750044797.06
333.50	295661148233618.25
334.50	303006523037874.81
335.50	295497580043362.06
336.50	272274246679330.50
337.50	275618120088445.91
338.50	297504832310375.62
339.50	316545995361314.38
340.50	321800394333401.62
341.50	317211079294518.88
342.50	322529474055689.81
343.50	307269280470792.88
344.50	290048190039186.88
345.50	301969546042888.56
346.50	311406024459533.69
347.50	308729061594790.25
348.50	306891737185559.81
349.50	318503309152520.50
350.50	338089445038318.06
351.50	336377759115295.25
352.50	331900847918322.56
353.50	354020358687957.81
354.50	372584638719136.38
355.50	359597240978459.38
356.50	324950763386323.81
357.50	289544509019731.88
358.50	289857876300460.25
359.50	323185820501902.75
360.50	337202765827727.94
361.50	336378862237492.69
362.50	344580088944493.75
363.50	357168993591039.44
364.50	377983098707615.50
365.50	405828813147358.75
366.50	425361488335501.56
367.50	426305711299377.69
368.50	423341121356983.88
369.50	429405447287851.75
370.50	427751937680357.00
371.50	415098387278470.62
372.50	384535575123038.12
373.50	359768666178347.69
374.50	355193988492889.25
375.50	376025471485212.06
376.50	415843166261600.69
377.50	447989220658505.50
378.50	456014102906636.88
379.50	443838641710143.12
380.50	421366608930508.88
381.50	380297108815042.94
382.50	337088254400834.69
383.50	319203713850944.06
384.50	337425427861096.12
385.50	362465889429010.12
386.50	374951969994559.25
387.50	382336482452025.44
388.50	399644087793331.62
389.50	431882192521016.69
390.50	451467463954535.25
391.50	432400022532760.62
392.50	389495878828153.88
393.50	364989041969824.56
394.50	371492016522213.50
395.50	390329423318102.44
396.50	411468887114023.31
397.50	454181483927861.69
398.50	525508673594583.38
399.50	598039160286322.50
400.50	648826762564684.75
401.50	670279464614501.62
402.50	675727810497118.00
403.50	671800681865792.88
404.50	663093782471688.75
405.50	654795200428952.88
406.50	656796895086384.75
407.50	661055555399358.00
408.50	668719844776623.62
409.50	677539802782001.25
410.50	684067594786102.25
411.50	697310970152830.50
412.50	705819696833508.62
413.50	713649944204153.38
414.50	716750712686280.62
415.50	714316438059978.62
416.50	712626214130593.12
417.50	706797611688768.50
418.50	706314230687665.50
419.50	707309908672948.25
420.50	708403364398350.88
421.50	710998822078010.25
422.50	707502271319124.62
423.50	704786081128641.50
424.50	701015432509789.38
425.50	695611743253874.25
426.50	687431908695205.75
427.50	666637353921823.50
428.50	645881126714248.38
429.50	631034411821833.75
430.50	629012506009770.62
431.50	645760738062916.62
432.50	674149067624197.38
433.50	703356121309177.00
434.50	727967020237700.88
435.50	742717570318510.25
436.50	750191120584786.62
437.50	751805373185433.12
438.50	755069928643434.50
439.50	763907748849346.50
440.50	777709663597435.25
441.50	796142304564177.25
442.50	812413203100801.75
443.50	823455831054680.62
444.50	831863143796841.25
445.50	838176038838900.38
446.50	847206167455545.88
447.50	862764309191409.12
448.50	877125255017975.12
449.50	887961715660796.25
450.50	895692495114631.12
451.50	896739563181876.00
452.50	893754032506372.00
453.50	892687325865443.75
454.50	894560543883641.50
455.50	897460855154286.88
456.50	902640492352424.25
457.50	908929810591572.75
458.50	913841829053786.62
459.50	918279679047638.75
460.50	922515677518513.88
461.50	925611722345732.75
462.50	926505282511858.00
463.50	925198286879523.00
464.50	922135355035242.88
465.50	918616355249877.62
466.50	914411425915290.00
467.50	912981819236792.50
468.50	914336042494497.12
469.50	917132738329031.62
470.50	921447443698859.00
471.50	927730038032955.62
472.50	934467792163661.00
473.50	940847909039591.00
474.50	947207403286592.25
475.50	953525291714067.62
476.50	958738360351605.62
477.50	963728201629167.25
478.50	968652159269453.50
479.50	970986007782587.00
480.50	970215677453478.38
481.50	963149792837744.62
482.50	951765654897219.12
483.50	938180301832657.62
484.50	924482348551124.75
485.50	912865790925685.88
486.50	905992773782035.50
487.50	905813385051711.12
488.50	911003284073672.75
489.50	918779637183600.12
490.50	927777503734861.50
491.50	936219165255880.12
492.50	943548518133907.00
493.50	948173222650884.12
494.50	951333728379226.12
495.50	951991388782826.38
496.50	950597268190292.75
497.50	948415870645181.25
498.50	945238779168547.50
499.50	942081628342615.38
500.50	940062458919319.38
501.50	939641581378516.50
502.50	941295641980215.62
503.50	944633847176972.12
504.50	948930229355658.62
505.50	953487370496959.25
506.50	957346876378037.00
507.50	959323658028686.75
508.50	959780484997728.75
509.50	958975854345707.50
510.50	956208176042962.75
511.50	949697759534808.75
512.50	940693844397176.75
513.50	931603604386652.25
514.50	923429671785511.62
515.50	916346357938186.12
516.50	910733126290927.88
517.50	907705975772828.75
518.50	911193447954009.75
519.50	917420733580601.75
520.50	924049376137012.00
521.50	930615441653067.62
522.50	937660287611647.38
523.50	945487043372322.50
524.50	952499006810791.50
525.50	957588267616631.50
526.50	961209273849834.88
527.50	964863209730731.75
528.50	970649321461084.50
529.50	975889077526181.12
530.50	980250165216118.75
531.50	983552518742224.75
532.50	985651672115033.12
533.50	987282874696469.88
534.50	988130618276413.88
535.50	987989980061033.25
536.50	986587399838442.12
537.50	985336484716146.00
538.50	984366290602142.00
539.50	983804691851420.62
540.50	984044710286093.25
541.50	984889021567709.75
542.50	986267027051232.12
543.50	988174242398784.25
544.50	990349840134829.62
545.50	992404778768093.75
546.50	994170749536425.50
547.50	996439306214745.00
548.50	998424647871319.38
549.50	1000056703284808.00
550.50	1000700481551918.75
551.50	1000517743684734.88
552.50	999899971403322.88
553.50	999447379532606.00
554.50	998807027061547.50
555.50	997998368516016.62
556.50	996869851886549.88
557.50	995791229598808.88
558.50	994977093411830.00
559.50	995155694037200.50
560.50	995850566227085.00
561.50	996802921240004.50
562.50	997846271757172.75
563.50	999075624564563.12
564.50	1000462783395221.88
565.50	1002660716877437.62
566.50	1004916731671347.25
567.50	1007238362598856.25
568.50	1009322001180624.12
569.50	1011265465246062.00
570.50	1012935921876791.50
571.50	1015044808814448.62
572.50	1017335833218357.62
573.50	1019408848670133.88
574.50	1021272439701405.75
575.50	1022868010128134.38
576.50	1024019317455639.75
577.50	1025013814756709.75
578.50	1025760868519703.12
579.50	1025937816661269.88
580.50	1025443025387461.00
581.50	1024423553736940.00
582.50	1023241950839051.25
583.50	1021975214099308.25
584.50	1020610945232573.50
585.50	1019087337984095.62
586.50	1017715701761555.12
587.50	1016425375571718.62
588.50	1015701015991667.88
589.50	1015179602747352.62
590.50	1015525832899396.75
591.50	1015967859482731.25
592.50	1016562955546109.00
593.50	1017192709923443.88
594.50	1017844479563727.88
595.50	1018585475006583.12
596.50	1019345013176343.38
597.50	1019920273170692.38
598.50	1020377148174094.62
599.50	1020269439871844.75
600.50	1019970360972158.62
601.50	1019287728234666.12
602.50	1018581186970444.50
603.50	1017848612751292.00
604.50	1016687808185350.25
605.50	1015236986277128.38
606.50	1013409238301623.38
607.50	1011427140646850.88
608.50	1009458573119829.50
609.50	1007484067802848.25
610.50	1005813257876862.12
611.50	1004166685359501.88
612.50	1002550806627767.50
613.50	1000926471016440.75
614.50	999336216029852.25
615.50	997780183914976.88
616.50	997288562328030.75
617.50	996837097489838.38
