# from Cheng 1999, https://web.archive.org/web/20010303004339/http://ams-bmc.srrc.gov.tw:80/database.htm
# aka http://140.110.206.16/wp-content/uploads/2014/02/H2O-HOD-and-D2O.pdf
#wavelength	H2O	 HDO		D2O
#  nm	cm2/molecule	 cm2/molecule	cm2/molecule
164.6	5.28E-18	6.25E-18	6.51E-18
164.8	5.31E-18	6.05E-18	6.56E-18
165.0	5.32E-18	6.21E-18	6.63E-18
165.2	5.34E-18	6.25E-18	6.61E-18
165.4	5.40E-18	6.35E-18	6.65E-18
165.6	5.38E-18	6.23E-18	6.70E-18
165.8	5.40E-18	6.37E-18	6.69E-18
166.0	5.41E-18	6.19E-18	6.71E-18
166.2	5.40E-18	6.35E-18	6.65E-18
166.4	5.42E-18	6.23E-18	6.65E-18
166.6	5.41E-18	6.10E-18	6.66E-18
166.8	5.37E-18	6.27E-18	6.56E-18
167.0	5.41E-18	6.33E-18	6.45E-18
167.2	5.39E-18	6.20E-18	6.42E-18
167.4	5.37E-18	6.15E-18	6.36E-18
167.6	5.39E-18	6.01E-18	6.36E-18
167.8	5.35E-18	6.00E-18	6.26E-18
168.0	5.38E-18	6.04E-18	6.18E-18
168.2	5.39E-18	5.90E-18	6.11E-18
168.4	5.35E-18	5.95E-18	6.06E-18
168.6	5.33E-18	5.99E-18	5.97E-18
168.8	5.32E-18	5.82E-18	5.99E-18
169.0	5.32E-18	5.90E-18	5.92E-18
169.2	5.31E-18	5.76E-18	5.88E-18
169.4	5.29E-18	5.62E-18	5.81E-18
169.6	5.29E-18	5.62E-18	5.75E-18
169.8	5.26E-18	5.68E-18	5.63E-18
170.0	5.23E-18	5.66E-18	5.54E-18
170.2	5.18E-18	5.46E-18	5.45E-18
170.4	5.11E-18	5.42E-18	5.32E-18
170.6	5.08E-18	5.42E-18	5.14E-18
170.8	5.06E-18	5.26E-18	5.00E-18
171.0	4.98E-18	5.24E-18	4.84E-18
171.2	4.92E-18	5.04E-18	4.68E-18
171.4	4.84E-18	5.00E-18	4.51E-18
171.6	4.77E-18	4.85E-18	4.34E-18
171.8	4.64E-18	4.62E-18	4.17E-18
172.0	4.57E-18	4.54E-18	4.05E-18
172.2	4.49E-18	4.51E-18	3.86E-18
172.4	4.36E-18	4.21E-18	3.77E-18
172.6	4.29E-18	4.14E-18	3.65E-18
172.8	4.18E-18	4.15E-18	3.48E-18
173.0	4.14E-18	3.90E-18	3.39E-18
173.2	4.00E-18	3.78E-18	3.31E-18
173.4	3.92E-18	3.72E-18	3.22E-18
173.6	3.84E-18	3.61E-18	3.10E-18
173.8	3.78E-18	3.45E-18	3.00E-18
174.0	3.62E-18	3.49E-18	2.88E-18
174.2	3.56E-18	3.43E-18	2.75E-18
174.4	3.51E-18	3.28E-18	2.63E-18
174.6	3.46E-18	3.10E-18	2.51E-18
174.8	3.41E-18	3.08E-18	2.37E-18
175.0	3.32E-18	3.03E-18	2.23E-18
175.2	3.28E-18	2.96E-18	2.07E-18
175.4	3.18E-18	2.81E-18	1.95E-18
175.6	3.12E-18	2.73E-18	1.77E-18
175.8	3.04E-18	2.64E-18	1.62E-18
176.0	2.99E-18	2.47E-18	1.49E-18
176.2	2.87E-18	2.28E-18	1.40E-18
176.4	2.79E-18	2.18E-18	1.26E-18
176.6	2.74E-18	2.05E-18	1.12E-18
176.8	2.64E-18	1.84E-18	1.06E-18
177.0	2.54E-18	1.78E-18	9.31E-19
177.2	2.45E-18	1.73E-18	8.16E-19
177.4	2.32E-18	1.59E-18	7.13E-19
177.6	2.20E-18	1.44E-18	6.55E-19
177.8	2.08E-18	1.30E-18	5.78E-19
178.0	1.96E-18	1.18E-18	5.09E-19
178.2	1.83E-18	1.08E-18	4.54E-19
178.4	1.69E-18	9.66E-19	3.89E-19
178.6	1.59E-18	8.61E-19	3.47E-19
178.8	1.49E-18	7.82E-19	3.06E-19
179.0	1.37E-18	7.09E-19	2.63E-19
179.2	1.27E-18	6.29E-19	2.31E-19
179.4	1.14E-18	5.77E-19	2.02E-19
179.6	1.06E-18	5.15E-19	1.77E-19
179.8	9.64E-19	4.56E-19	1.56E-19
180.0	8.72E-19	4.01E-19	1.40E-19
180.2	7.92E-19	3.73E-19	1.09E-19
180.4	6.94E-19	3.36E-19	9.54E-20
180.6	6.61E-19	2.97E-19	8.44E-20
180.8	6.03E-19	2.68E-19	7.49E-20
181.0	5.45E-19	2.37E-19	6.44E-20
181.2	4.90E-19	2.17E-19	5.73E-20
181.4	4.37E-19	1.89E-19	5.06E-20
181.6	3.95E-19	1.68E-19	4.45E-20
181.8	3.58E-19	1.50E-19	3.95E-20
182.0	3.16E-19	1.35E-19	3.54E-20
182.2	2.86E-19	1.20E-19	3.13E-20
182.4	2.56E-19	1.10E-19	2.80E-20
182.6	2.30E-19	9.70E-20	2.48E-20
182.8	2.07E-19	8.79E-20	2.19E-20
183.0	1.87E-19	7.94E-20	1.99E-20
183.2	1.67E-19	7.15E-20	1.77E-20
183.4	1.49E-19	6.43E-20	1.57E-20
183.6	1.36E-19	5.81E-20	1.40E-20
183.8	1.25E-19	5.14E-20	1.26E-20
184.0	1.11E-19	4.68E-20	1.13E-20
184.2	9.98E-20	4.24E-20	1.02E-20
184.4	9.08E-20	3.84E-20	8.98E-21
184.6	8.17E-20	3.45E-20	8.06E-21
184.8	7.45E-20	3.13E-20	7.26E-21
185.0	6.71E-20	2.83E-20	6.56E-21
185.2	6.05E-20	2.58E-20	5.90E-21
185.4	5.46E-20	2.35E-20	5.25E-21
185.6	4.93E-20	2.11E-20	4.74E-21
185.8	4.44E-20	1.92E-20	4.28E-21
186.0	4.07E-20	1.73E-20	3.85E-21
186.2	3.69E-20	1.57E-20	3.53E-21
186.4	3.32E-20	1.42E-20	3.30E-21
186.6	3.00E-20	1.32E-20	2.82E-21
186.8	2.71E-20	1.18E-20	2.63E-21
187.0	2.46E-20	1.08E-20	2.42E-21
187.2	2.24E-20	9.91E-21	2.10E-21
187.4	2.04E-20	8.75E-21	1.99E-21
187.6	1.86E-20	7.82E-21	1.77E-21
187.8	1.70E-20	7.12E-21	1.69E-21
188.0	1.54E-20	6.67E-21	1.48E-21
188.2	1.38E-20	6.15E-21	1.28E-21
188.4	1.27E-20	5.16E-21	1.30E-21
188.6	1.14E-20	4.59E-21	1.26E-21
188.8	1.04E-20	4.81E-21	9.48E-22
189.0	9.56E-21	4.21E-21	9.46E-22
189.2	8.63E-21	3.76E-21	8.23E-22
189.4	7.79E-21	3.30E-21	7.92E-22
189.6	7.22E-21	3.08E-21	7.14E-22
189.8	6.60E-21	2.42E-21	6.03E-22
190.0	5.88E-21	2.61E-21	6.55E-22
190.2	5.59E-21	2.19E-21	5.32E-22
190.4	5.01E-21	2.11E-21	4.52E-22
190.6	4.59E-21	1.73E-21	4.30E-22
190.8	4.08E-21	1.65E-21	4.42E-22
191.0	3.85E-21	1.35E-21	3.60E-22
191.2	3.46E-21	1.26E-21	3.18E-22  
191.4	3.24E-21	1.21E-21	3.06E-22
191.6	2.86E-21	1.14E-21	2.83E-22
191.8	2.59E-21	1.06E-21	2.63E-22
192.0	2.38E-21	9.03E-22	2.58E-22
192.2	2.21E-21	7.81E-22	2.38E-22
