# from Cheng 1999, https://web.archive.org/web/20010303004339/http://ams-bmc.srrc.gov.tw:80/database.htm
# aka http://140.110.206.16/wp-content/uploads/2014/02/H2O-HOD-and-D2O.pdf
#λ	 H2O		HDO	 	D2O
# nm cm2/molecule cm2/molecule cm2/molecule
163.6	5.33E-18	6.61E-18	 6.07E-18
163.8	5.34E-18	6.65E-18	 5.86E-18
164	5.38E-18	6.64E-18	 6.17E-18
164.2	5.41E-18	6.68E-18	 6.12E-18
164.4	5.55E-18	6.73E-18	 6.18E-18
164.6	5.55E-18	6.78E-18	 6.22E-18
164.8	5.55E-18	6.8E-18	 6.24E-18
165	5.64E-18	6.84E-18	 6.24E-18
165.2	5.63E-18	6.93E-18	 6.29E-18
165.4	5.66E-18	6.93E-18	 6.32E-18
165.6	5.67E-18	6.95E-18	 6.36E-18
165.8	5.68E-18	6.95E-18	 6.46E-18
166	5.73E-18	6.94E-18	 6.19E-18
166.2	5.76E-18	6.94E-18	 6.2E-18
166.4	5.77E-18	6.89E-18	 6.33E-18
166.6	5.74E-18	6.84E-18	 6.15E-18
166.8	5.71E-18	6.82E-18	 6.13E-18
167	5.75E-18	6.78E-18	 6.29E-18
167.2	5.68E-18	6.66E-18	 6.25E-18
167.4	5.76E-18	6.62E-18	 6.19E-18
167.6	5.72E-18	6.56E-18	 6E-18
167.8	5.67E-18	6.48E-18	 6.15E-18
168	5.67E-18	6.42E-18	 6.12E-18
168.2	5.65E-18	6.34E-18	 6.05E-18
168.4	5.65E-18	6.28E-18	 5.97E-18
168.6	5.62E-18	6.24E-18	 5.95E-18
168.8	5.63E-18	6.19E-18	 5.78E-18
169	5.6E-18	 	6.13E-18	 5.8E-18
169.2	5.56E-18	6.09E-18	 5.77E-18
169.4	5.61E-18	6E-18	 	5.65E-18
169.6	5.56E-18	5.94E-18	 5.65E-18
169.8	5.53E-18	5.86E-18	 5.55E-18
170	5.54E-18	5.77E-18	 5.68E-18
170.2	5.46E-18	5.68E-18	 5.32E-18
170.4	5.37E-18	5.56E-18	 5.38E-18
170.6	5.4E-18	 	5.4E-18	 	5.19E-18
170.8	5.33E-18	5.27E-18	 5.14E-18
171	5.22E-18	5.11E-18	 5.18E-18
171.2	5.15E-18	4.95E-18	 4.98E-18
171.4	5.09E-18	4.78E-18	 4.85E-18
171.6	4.99E-18	4.6E-18	 4.76E-18
171.8	4.87E-18	4.39E-18	 4.64E-18
172	4.79E-18	4.26E-18	 4.5E-18
172.2	4.74E-18	4.12E-18	 4.36E-18
172.4	4.6E-18	 	3.95E-18	 4.12E-18
172.6	4.52E-18	3.82E-18	 4.09E-18
172.8	4.47E-18	3.72E-18	 3.92E-18
173	4.31E-18	3.61E-18	 3.9E-18
173.2	4.22E-18	3.47E-18	 3.74E-18
173.4	4.15E-18	3.38E-18	 3.61E-18
173.6	4.01E-18	3.27E-18	 3.57E-18
173.8	4.02E-18	3.13E-18	 3.57E-18
174	3.89E-18	3.02E-18	 3.54E-18
174.2	3.78E-18	2.93E-18	 3.3E-18
174.4	3.74E-18	2.83E-18	 3.15E-18
174.6	3.6E-18	 	2.67E-18	 3.18E-18
174.8	3.46E-18	2.58E-18	 3.02E-18
175	3.37E-18	2.43E-18	 2.86E-18
175.2	3.3E-18	 	2.27E-18	 2.84E-18
175.4	3.24E-18	2.12E-18	 2.78E-18
175.6	3.17E-18	1.95E-18	 2.6E-18
175.8	3.1E-18	 	1.77E-18	 2.58E-18
176	3.01E-18	1.63E-18	 2.36E-18
176.2	2.91E-18	1.48E-18	 2.23E-18
176.4	2.83E-18	1.34E-18	 2.19E-18
176.6	2.74E-18	1.23E-18	 1.89E-18
176.8	2.63E-18	1.08E-18	 1.82E-18
177	2.51E-18	9.51E-19	 1.76E-18
177.2	2.39E-18	8.27E-19	 1.65E-18
177.4	2.33E-18	7.52E-19	 1.44E-18
