# from Cheng 1999, https://web.archive.org/web/20010303004339/http://ams-bmc.srrc.gov.tw:80/database.htm
# aka http://140.110.206.16/wp-content/uploads/2014/02/H2O-HOD-and-D2O.pdf
# lambda  H2O	   HDO	     D2O
# nm     cm2/molecule      cm2/molecule      cm2/molecule
161.6	4.63E-18	6.02E-18	5.33E-18
161.8	4.65E-18	6.05E-18	5.49E-18
162	4.73E-18	6.13E-18	5.65E-18
162.2	4.75E-18	6.21E-18	5.53E-18
162.4	4.78E-18	6.29E-18	5.67E-18
162.6	4.88E-18	6.4E-18	5.66E-18
162.8	4.94E-18	6.36E-18	5.73E-18
163	4.97E-18	6.41E-18	5.89E-18
163.2	5.1E-18	6.51E-18	5.91E-18
163.4	5.05E-18	6.56E-18	5.97E-18
163.6	5.12E-18	6.54E-18	5.98E-18
163.8	5.2E-18	6.57E-18	5.98E-18
164	5.21E-18	6.58E-18	6E-18
164.2	5.23E-18	6.68E-18	6.15E-18
164.4	5.26E-18	6.71E-18	6.22E-18
164.6	5.35E-18	6.73E-18	6.28E-18
164.8	5.42E-18	6.76E-18	6.15E-18
165	5.47E-18	6.85E-18	6.3E-18
165.2	5.41E-18	6.88E-18	6.22E-18
165.4	5.47E-18	6.9E-18	6.32E-18
165.6	5.45E-18	6.9E-18	6.22E-18
165.8	5.5E-18	6.88E-18	6.42E-18
166	5.5E-18	6.88E-18	6.33E-18
166.2	5.47E-18	6.83E-18	6.47E-18
166.4	5.52E-18	6.8E-18	6.38E-18
166.6	5.47E-18	6.8E-18	6.38E-18
166.8	5.52E-18	6.71E-18	6.31E-18
167	5.47E-18	6.72E-18	6.06E-18
167.2	5.5E-18	6.64E-18	6.18E-18
167.4	5.45E-18	6.55E-18	6.27E-18
167.6	5.48E-18	6.47E-18	6.2E-18
167.8	5.39E-18	6.37E-18	6.27E-18
168	5.46E-18	6.37E-18	6.06E-18
168.2	5.41E-18	6.3E-18	5.96E-18
168.4	5.38E-18	6.19E-18	6.13E-18
168.6	5.46E-18	6.16E-18	6.05E-18
168.8	5.39E-18	6.11E-18	5.96E-18
169	5.37E-18	6.1E-18	5.8E-18
169.2	5.38E-18	6.03E-18	5.9E-18
169.4	5.39E-18	5.95E-18	5.9E-18
169.6	5.35E-18	5.9E-18	5.78E-18
169.8	5.29E-18	5.81E-18	5.76E-18
170	5.29E-18	5.68E-18	5.64E-18
170.2	5.26E-18	5.59E-18	5.62E-18
170.4	5.2E-18	5.47E-18	5.42E-18
170.6	5.15E-18	5.38E-18	5.25E-18
170.8	5.11E-18	5.17E-18	5.24E-18
171	5.04E-18	5.03E-18	5.09E-18
171.2	4.96E-18	4.88E-18	4.95E-18
171.4	4.86E-18	4.67E-18	4.89E-18
171.6	4.83E-18	4.5E-18	4.77E-18
171.8	4.7E-18	4.31E-18	4.72E-18
172	4.68E-18	4.21E-18	4.49E-18
172.2	4.48E-18	4.06E-18	4.38E-18
172.4	4.43E-18	3.89E-18	4.38E-18
172.6	4.33E-18	3.76E-18	4.23E-18
172.8	4.23E-18	3.64E-18	4.12E-18
173	4.13E-18	3.54E-18	4.01E-18
173.2	4E-18	3.42E-18	3.83E-18
173.4	3.91E-18	3.33E-18	3.77E-18
173.6	3.83E-18	3.22E-18	3.65E-18
173.8	3.81E-18	3.11E-18	3.62E-18
174	3.69E-18	3.01E-18	3.5E-18
174.2	3.62E-18	2.89E-18	3.41E-18
174.4	3.55E-18	2.76E-18	3.34E-18
174.6	3.49E-18	2.62E-18	3.29E-18
174.8	3.41E-18	2.49E-18	3.17E-18
175	3.38E-18	2.35E-18	3.03E-18
175.2	3.28E-18	2.22E-18	2.9E-18
175.4	3.24E-18	2.06E-18	2.83E-18
175.6	3.18E-18	1.92E-18	2.72E-18
175.8	3.08E-18	1.78E-18	2.59E-18
176	3.03E-18	1.61E-18	2.48E-18
176.2	2.91E-18	1.46E-18	2.36E-18
176.4	2.84E-18	1.24E-18	2.31E-18
176.6	2.72E-18	1.11E-18	2.17E-18
176.8	2.65E-18	9.94E-19	2.05E-18
177	2.53E-18	8.73E-19	1.92E-18
177.2	2.4E-18	7.97E-19	1.71E-18
177.4	2.29E-18	7.1E-19	1.57E-18
177.6	2.19E-18	6.17E-19	1.43E-18
177.8	2.06E-18	5.24E-19	1.34E-18
178	1.92E-18	4.61E-19	1.22E-18
178.2	1.8E-18	4.02E-19	1.1E-18
178.4	1.67E-18	3.52E-19	9.82E-19
178.6	1.55E-18	3.08E-19	8.89E-19
178.8	1.45E-18	2.65E-19	7.92E-19
179	1.32E-18	2.31E-19	6.92E-19
179.2	1.19E-18	2.04E-19	6.32E-19
179.4	1.12E-18	1.78E-19	5.42E-19
179.6	1.02E-18	1.53E-19	4.91E-19
179.8	9.29E-19	1.37E-19	4.28E-19
180	8.46E-19	1.2E-19	3.83E-19
180.2	7.62E-19	1.05E-19	3.42E-19
180.4	6.87E-19	9.26E-20	3.1E-19
180.6	6.22E-19	8.13E-20	2.65E-19
180.8	5.61E-19	7.12E-20	2.37E-19
181	5.02E-19	6.32E-20	2.15E-19
181.2	4.52E-19	5.53E-20	1.94E-19
181.4	4.05E-19	4.86E-20	1.73E-19
181.6	3.64E-19	4.32E-20	1.56E-19
181.8	3.29E-19	3.84E-20	1.4E-19
182	2.95E-19	3.4E-20	1.25E-19
182.2	2.7E-19	3E-20	1.13E-19
182.4	2.44E-19	2.66E-20	1E-19
182.6	2.19E-19	2.36E-20	9E-20
182.8	1.95E-19	2.14E-20	8.1E-20
183	1.77E-19	1.88E-20	7.41E-20
183.2	1.6E-19	1.68E-20	6.57E-20
183.4	1.45E-19	1.48E-20	6.05E-20
183.6	1.3E-19	1.3E-20	5.51E-20
183.8	1.18E-19	1.2E-20	4.85E-20
184	1.06E-19	1.05E-20	4.51E-20
184.2	9.57E-20	9.52E-21	3.98E-20
184.4	8.58E-20	8.46E-21	3.52E-20
184.6	7.72E-20	7.33E-21	3.33E-20
184.8	6.9E-20	7.09E-21	3E-20
185	6.25E-20	5.92E-21	2.73E-20
185.2	5.63E-20	5.3E-21	2.59E-20
185.4	5.13E-20	5.14E-21	2.1E-20
185.6	4.59E-20	4.1E-21	1.95E-20
185.8	4.15E-20	3.86E-21	1.99E-20
186	3.7E-20	3.55E-21	1.66E-20
186.2	3.49E-20	3.08E-21	1.36E-20
186.4	3.07E-20	2.73E-21	1.29E-20
186.6	2.77E-20	2.41E-21	1.14E-20
186.8	2.47E-20	2.23E-21	1.12E-20
187	2.25E-20	1.92E-21	8.83E-21
187.2	2.02E-20	1.76E-21	8.46E-21
187.4	1.8E-20	1.5E-21	8.26E-21
187.6	1.69E-20	1.31E-21	7.89E-21
187.8	1.47E-20	1.24E-21	5.86E-21
188	1.36E-20	1.09E-21	5.5E-21
188.2	1.3E-20	0	0
188.4	1.17E-20	0	0
188.6	1.1E-20	0	0
