#Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
# using SORCE solstice and SORCE solar spectral irradiance
# interpolated to half-wavelengths by Eryn 2/18/19
#Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
298.5	20954856184086.316
299.5	29215985202412.81
300.5	19476040171175.902
301.5	26565580404793.79
302.5	26168214483728.797
303.5	34397752846370.633
304.5	32592446399001.45
305.5	34298072983109.02
306.5	31573002421298.184
307.5	36551754035661.83
308.5	37092548550938.54
309.5	28186149162471.08
310.5	36520988102304.38
311.5	41812029673072.32
312.5	38931990539043.82
313.5	40375994683210.45
314.5	39659826687682.59
315.5	36866856505224.9
316.5	38720922236505.66
317.5	43715464270091.89
318.5	40351432977214.79
319.5	42934703096904.13
320.5	45847502574081.195
321.5	43178889387184.98
322.5	41030786437741.41
323.5	41348780108303.836
324.5	46599331292047.7
325.5	53872484207920.98
326.5	59380785528820.17
327.5	58625146644125.164
328.5	58777763254591.42
329.5	63630511986324.38
330.5	63521691058829.195
331.5	60653960420416.77
332.5	59576901175179.41
333.5	58868269084122.44
334.5	60272201474574.37
335.5	58815990173054.445
336.5	54121928872597.09
337.5	54902110074608.54
338.5	59035009928630.94
339.5	62821119022178.81
340.5	63935235077022.6
341.5	63136532922463.195
342.5	64011080061000.484
343.5	61017384745198.41
344.5	57383980602975.445
345.5	59873054124181.18
346.5	61762158262997.7
347.5	61132847228623.03
348.5	60792576581015.74
349.5	63116036753499.81
350.5	67012311865525.9
351.5	66562549704631.58
352.5	65725064706986.28
353.5	70089309763689.33
354.5	73726813636166.42
355.5	71248669318412.28
356.5	64368659120937.484
357.5	57220146944003.836
358.5	57220941386304.52
359.5	63904703206020.95
360.5	66766599493239.586
361.5	66510263359338.38
362.5	68114806978292.54
363.5	70623092586161.27
364.5	74661178606731.27
365.5	80136173395700.28
366.5	83996072982492.22
367.5	84144845164525.64
368.5	83539744384428.36
369.5	84687737785318.73
370.5	84341123168578.69
371.5	81929796715405.73
372.5	75921992903386.47
373.5	70852729683093.72
374.5	70003139946913.53
375.5	74083309915749.61
376.5	81986858344392.75
377.5	88325002096629.83
378.5	89841682068808.88
379.5	87594695231294.22
380.5	83173807027446.66
381.5	75030504754189.66
382.5	66375442314821.445
383.5	62776208312596.98
384.5	66428772374648.516
385.5	71401770176124.23
386.5	73868553267971.28
387.5	75275310289337.4
388.5	78629390133967.14
389.5	85058211527905.02
390.5	88994160793045.02
391.5	85204098556662.27
392.5	76668233306828.02
393.5	71717408571240.08
394.5	72995928459867.84
395.5	76720621891454.4
396.5	80794247815883.4
397.5	89307676019054.98
398.5	103282456099748.81
399.5	117599434877332.17
400.5	127626370571280.8
401.5	131876370789590.53
402.5	132889437073027.9
403.5	132105891412528.64
404.5	130360256867179.22
405.5	128801039604687.61
406.5	129044903876617.0
407.5	129849914214461.83
408.5	131365147168323.53
409.5	133044452492453.67
410.5	134310521003353.33
411.5	136955844921921.94
412.5	138640497243435.19
413.5	140258733472310.8
414.5	140837507894506.53
415.5	140355473968685.6
416.5	140036207690048.9
417.5	138866058548484.97
418.5	138770607821848.28
419.5	138865200679176.98
420.5	139115416779891.83
421.5	139655283770852.22
422.5	138946913461857.42
423.5	138389975974468.98
424.5	137605919149977.84
425.5	136568404289233.66
426.5	134964378068996.48
427.5	130918582521804.16
428.5	126775631322906.69
429.5	123825040074352.98
430.5	123435564322518.88
431.5	126757324650697.61
432.5	132308639706621.4
433.5	137989173636456.11
434.5	142919826084540.97
435.5	145757138268464.72
436.5	147304021607803.72
437.5	147519994081456.66
438.5	148207791488371.88
439.5	149934847724032.9
440.5	152611067686148.78
441.5	156228071912226.97
442.5	159419522254343.6
443.5	161592010957465.4
444.5	163286418761813.78
445.5	164494369016372.78
446.5	166342880552069.5
447.5	169285039524190.2
448.5	172124832879307.4
449.5	174232593904124.25
450.5	175769375150891.66
451.5	175969159476981.8
452.5	175356089293215.53
453.5	175141871603733.56
454.5	175516118212793.56
455.5	176083473950078.06
456.5	177135115398451.16
457.5	178343756117682.5
458.5	179335252164420.03
459.5	180191695207468.5
460.5	181016228132939.38
461.5	181607687933741.66
462.5	181808773759344.47
463.5	181556950893345.12
464.5	180968726445406.84
465.5	180273548424414.2
466.5	179481137179619.28
467.5	179155574427709.03
468.5	179428049528487.8
469.5	179962511471884.2
470.5	180850586600118.38
471.5	182090326986348.4
472.5	183378226396342.66
473.5	184605014622322.78
474.5	185884688461639.0
475.5	187124418772135.47
476.5	188116815646251.3
477.5	189140410069510.38
478.5	190073551835156.53
479.5	190522859323236.56
480.5	190403594583427.8
481.5	188976537979773.72
482.5	186738837622581.7
483.5	184039843065754.88
484.5	181308966016703.0
485.5	179058237241962.8
486.5	177747996259046.75
487.5	177682887404397.38
488.5	178755993258696.66
489.5	180285184179308.56
490.5	182034927618091.78
491.5	183663172392338.25
492.5	185133220077288.12
493.5	186072540142290.75
494.5	186690933112990.2
495.5	186812938611840.7
496.5	186531127947454.12
497.5	186101502187176.84
498.5	185486733023069.72
499.5	184873691237010.6
500.5	184468057457018.97
501.5	184367253463041.75
502.5	184688352127324.4
