# λ (nm)	photon flux (γ/s/cm^2/nm)
206.5	506427266089.5435
207.5	589126107158.8225
208.5	680180937553.5779
209.5	990079070268.9275
210.5	1303120630879.0522
211.5	1582404903855.4863
212.5	1505591708137.6147
213.5	1367402289099.6672
214.5	1955379682655.4314
215.5	1602615393817.2764
216.5	1555493550969.6064
217.5	1510463484965.9412
218.5	2146947414674.6416
219.5	2259149332778.101
220.5	2241564444203.9463
221.5	1606193558498.3955
222.5	2372739906874.0415
223.5	3022864892926.8545
224.5	2790813144041.7446
225.5	2469066676193.8545
226.5	1735342006481.5444
227.5	1771289187267.9253
228.5	2555686215587.3086
229.5	2177804913072.8506
230.5	2659178507833.6562
231.5	2297851886189.6255
232.5	2494846777725.551
233.5	2102509539189.4624
234.5	1710662927682.6875
235.5	2763695922028.293
236.5	2131817424366.7021
237.5	2596477125737.2827
238.5	1789200244312.5525
239.5	2229993365050.676
240.5	2057074526406.8809
241.5	2410271510581.422
242.5	3645553788980.7144
243.5	3336314075319.289
244.5	3181438912157.597
245.5	2515187073580.7627
246.5	2524941030509.7227
247.5	2927470398028.632
248.5	2267536597983.337
249.5	2906950445913.111
250.5	3072727296245.249
251.5	2380756433936.876
252.5	2115257449805.3494
253.5	2723907242512.141
254.5	3051029399345.861
255.5	4352918969837.225
256.5	5267490936996.663
257.5	6585557823355.422
258.5	7009665272530.62
259.5	5880227083298.517
260.5	4771186963496.944
261.5	4680570950622.454
262.5	5972604080147.96
263.5	8790559709281.764
264.5	13833361070974.19
265.5	14446988481837.918
266.5	14132484444888.621
267.5	14171562367339.111
268.5	14221388063546.156
269.5	12712055953396.096
270.5	16117337320350.035
271.5	13488675880452.338
272.5	10703188814371.953
273.5	12322573856447.754
274.5	7225594373087.328
275.5	10441142796098.74
276.5	14643481581725.098
277.5	14529255915254.63
278.5	9583971715637.14
279.5	4496250620459.565
280.5	5248901809911.6455
281.5	12566288542153.277
282.5	17614057753366.758
283.5	19658101165357.176
284.5	15128243054204.97
285.5	7652810912644.106
286.5	20735332038964.043
287.5	22739494485987.22
288.5	18724631352978.15
289.5	28029334782845.367
290.5	37631802977312.34
291.5	35070339626207.645
292.5	30765519543666.113
293.5	34898091468313.49
294.5	31508931025556.2
295.5	35323407347564.266
296.5	31681156602956.13
297.5	33920394178671.668
298.5	25164116565614.492
299.5	35332264684509.58
300.5	23240553248778.184
301.5	31735641028757.66
302.5	31046309830557.19
303.5	40861262381838.24
304.5	38557734705937.94
305.5	40534717818885.055
306.5	36390430873909.9
307.5	42164247578486.78
308.5	42479845800123.8
309.5	32055331139189.062
310.5	41044386778631.5
311.5	46924442971073.56
312.5	43719368422966.336
313.5	45624655507431.375
314.5	44466638971427.22
315.5	41515639568447.5
316.5	43829299856129.65
317.5	49262216218407.35
318.5	45466962939940.305
319.5	48405641841980.45
320.5	51595983489748.195
321.5	48779750725249.516
322.5	46223598957667.98
323.5	46522213804572.695
324.5	52606390897653.45
325.5	60830211073812.61
326.5	67312038804159.45
327.5	66337581649122.69
328.5	66485711737386.8
329.5	71862933990098.05
330.5	71945033317682.45
331.5	68703570831598.39
332.5	67271832187311.43
333.5	66627113866494.98
334.5	68304381452308.52
335.5	66696385973095.31
336.5	61217209261633.96
337.5	62197783991171.55
338.5	67037706617475.05
339.5	71268553481148.58
340.5	72408316010458.64
341.5	71500963959563.31
342.5	72665416334279.88
343.5	69313554319079.66
344.5	65245228784845.01
345.5	67839925681171.54
346.5	70174332399217.336
347.5	69235688463276.06
348.5	68941753832113.59
349.5	71749634153020.0
350.5	76091717407672.23
351.5	75697620687699.69
352.5	74695088059414.3
353.5	79718812878079.42
354.5	83829665590801.05
355.5	80987384449941.66
356.5	73093640682319.36
357.5	65050323717565.89
358.5	64978991532722.625
359.5	72660632840288.48
360.5	75869595629319.55
361.5	75784273695251.03
362.5	77512732118998.7
363.5	80451383348924.42
364.5	85056325258123.3
365.5	91416570702174.36
366.5	95843622597931.14
367.5	95978026040844.31
368.5	95343346724070.36
369.5	96643733548153.19
370.5	96204721596105.84
371.5	93463186964250.28
372.5	86627935632450.42
373.5	80807658689443.97
374.5	79757219308130.77
375.5	84525895007201.14
376.5	93458692852432.06
377.5	100749692395393.69
378.5	102596229942757.34
379.5	99919878714225.0
380.5	94825637153868.08
381.5	85480454217288.8
382.5	75681030919746.47
383.5	71504240046440.31
384.5	75595952993132.95
385.5	81254720791043.62
386.5	84036511543428.69
387.5	85719337125404.97
388.5	89695271887064.2
389.5	97044445576821.06
390.5	101580578837793.31
391.5	97291607782777.16
392.5	87523058640718.36
393.5	81865518347186.67
394.5	83304565906896.2
395.5	87552692798151.7
396.5	92281075992935.42
397.5	102054395072977.12
398.5	118119822299098.17
399.5	134555652514076.89
400.5	146109849741605.97
401.5	151038361395187.47
402.5	152218316015160.34
403.5	151342651896522.9
404.5	149355343484415.8
405.5	147572977149976.75
406.5	147792223499723.0
407.5	148752584372905.62
408.5	150491398050793.66
409.5	152433679221575.97
410.5	153924029255802.06
411.5	156937178833071.06
412.5	158838814660007.34
413.5	160558092468325.06
414.5	161330248471835.0
415.5	160776272394346.44
416.5	160461854766648.4
417.5	159104139768806.72
418.5	159028729455856.34
419.5	159210118039688.25
420.5	159533519859888.25
421.5	160228499610895.66
422.5	159349421210802.6
423.5	158694512899463.53
424.5	157849218549203.66
425.5	156624040839728.25
426.5	154730361383353.56
427.5	150106084285778.44
428.5	145349467989538.53
429.5	141880103604411.6
430.5	141418923169321.25
431.5	145376433739807.94
432.5	151671624407954.44
433.5	158259232195762.47
434.5	163876463401738.75
435.5	167180743150867.34
436.5	168891862467429.1
437.5	169172271320436.88
438.5	169927766285886.88
439.5	171952319656168.03
