# λ (nm)	photon flux (γ/s/cm^2/nm)
267.5	14135158441094.74
268.5	14151076303292.895
269.5	12638651206931.484
270.5	15966432516354.875
271.5	13351197449158.486
272.5	10642087838071.105
273.5	12175149307677.516
274.5	7173795823972.572
275.5	10338439333112.246
276.5	14423560423067.451
277.5	14369240786138.951
278.5	9491641406802.395
279.5	4532252280343.4
280.5	5262644243469.39
281.5	12377084003435.764
282.5	17312791994143.312
283.5	19244311041821.598
284.5	14762630315777.23
285.5	7537592213436.095
286.5	20120024487709.707
287.5	22021450743567.215
288.5	18221482860208.12
289.5	27214156425495.66
290.5	36465232708584.164
291.5	33953996120086.02
292.5	29685855792377.645
293.5	33692455926543.594
294.5	30450972533382.953
295.5	34196315201288.21
296.5	30450950613517.09
297.5	32690923522756.598
298.5	24280108963050.207
299.5	33838487199254.746
300.5	22411063493312.887
301.5	30557373749947.215
302.5	30103582264631.746
303.5	39508796347820.984
304.5	37233776518815.734
305.5	39050697738822.67
306.5	35572049335370.99
307.5	41207549563663.7
308.5	41467996428086.3
309.5	31475523503821.71
310.5	41675292253014.15
311.5	47692661221008.305
312.5	44490130286627.58
313.5	46148719383339.84
314.5	45369422395086.67
315.5	42165889786679.43
316.5	44211630867588.805
317.5	50030697149814.23
318.5	46299056794097.95
319.5	49132986902763.9
320.5	52435690432755.03
321.5	49408693047048.17
322.5	47004864961299.96
323.5	47334239395462.016
324.5	53288811112877.31
325.5	61612742893743.44
326.5	67940517931334.35
327.5	67140329528715.83
328.5	67304995476904.016
329.5	72815802529366.25
330.5	72742969274241.72
331.5	69475065831948.41
332.5	68211633927662.695
333.5	67396290146442.56
334.5	69075953590666.945
335.5	67329074513838.25
336.5	62012723979263.414
337.5	62896972267884.87
338.5	67624973057468.805
339.5	71960037834389.6
340.5	73245606749308.72
341.5	72349890677196.72
342.5	73320819778868.83
343.5	69935197209747.805
344.5	65852198177241.84
345.5	68532255485870.266
346.5	70728300583525.44
347.5	69969850286069.15
348.5	69687750363639.48
349.5	72281154663160.55
350.5	76733110315889.4
351.5	76329424595003.5
352.5	75380931460923.34
353.5	80307721513667.62
354.5	84463965828892.45
355.5	81572207879121.66
356.5	73703522000304.69
357.5	65496089802821.445
358.5	65468676959701.97
359.5	73177732190812.2
360.5	76418050589587.62
361.5	76231970633944.94
362.5	78013969130965.72
363.5	80866696827327.81
364.5	85562580929388.4
365.5	91854449749787.56
366.5	96296051624800.95
367.5	96457598916458.28
368.5	95671975718051.42
369.5	97085890065208.86
370.5	96669199853968.3
371.5	93805877803108.22
372.5	86994654368799.97
373.5	81208417489396.9
374.5	80163299321007.78
375.5	84881467049996.1
376.5	93906143363137.66
377.5	101201454826256.9
378.5	102983062680276.1
379.5	100302476272985.88
380.5	95229039396562.12
381.5	85870751295992.9
382.5	75884267835856.16
383.5	71791030240044.84
384.5	75932554660675.56
385.5	81624118737072.34
386.5	84432071877525.4
387.5	86025186400058.67
388.5	90030941817970.78
389.5	97350932174165.47
390.5	101916230427821.62
391.5	97553501056381.72
392.5	87722822337545.19
393.5	82038555801445.75
394.5	83509507981196.66
395.5	87773547094073.28
396.5	92552944018394.88
397.5	102214335397060.86
398.5	118250090644411.89
399.5	134776716862066.69
400.5	146311737772978.56
401.5	151154234073547.16
402.5	152344946831174.22
403.5	151376039421566.8
404.5	149415986540947.6
405.5	147586041266421.34
406.5	147857500229890.44
407.5	148816267800382.9
408.5	150554101002244.94
409.5	152457132940224.25
410.5	153959195528114.03
411.5	156961300566068.38
412.5	158908303407983.38
413.5	160688234657272.75
414.5	161376954593547.66
415.5	160848087159249.1
416.5	160455229073245.0
417.5	159095126884565.53
418.5	159030491404511.12
419.5	159141176426003.47
420.5	159440475870707.3
421.5	160046220884226.78
422.5	159244696747800.94
423.5	158625887835344.7
424.5	157754298225432.84
425.5	156525596922735.66
426.5	154649981559169.47
427.5	149971445281357.38
428.5	145253132324351.28
429.5	141905925927367.62
430.5	141402369964858.72
431.5	145211308898131.25
432.5	151582068346557.8
433.5	158116526345961.97
434.5	163739002993024.53
435.5	167039350430006.34
436.5	168746787970336.9
437.5	169055692963483.72
438.5	169802029670030.84
439.5	171835442472183.94
440.5	174939462641499.16
441.5	179069979772939.16
442.5	182767149712606.16
443.5	185256859281529.78
444.5	187182598168400.94
445.5	188594580328309.44
446.5	190693157073705.3
447.5	194066293625680.12
448.5	197294363963305.28
449.5	199713362043870.97
450.5	201502367305254.84
451.5	201706229173494.75
452.5	200982733762258.94
453.5	200739807821972.78
454.5	201168876654201.1
455.5	201846409174314.4
456.5	203054002742665.44
457.5	204434058104150.44
458.5	205518400848550.4
459.5	206524108222256.75
460.5	207449033996979.25
461.5	208144483217440.84
462.5	208373226767209.8
463.5	208047887474345.2
464.5	207363079652665.6
465.5	206556751628122.53
466.5	205653676971656.2
467.5	205280496468128.28
468.5	205561637073909.72
469.5	206203082088202.66
470.5	207236856976179.47
471.5	208652205542524.72
472.5	210133509140395.94
473.5	211540414027920.16
474.5	212990362361634.7
475.5	214365743161460.97
476.5	215538849300166.38
477.5	216718822815541.72
478.5	217781204618449.22
479.5	218317036540048.78
480.5	218146668132964.8
481.5	216493019065331.0
482.5	213920127137739.78
483.5	210838651667879.12
484.5	207719413090072.22
485.5	205121787167148.1
486.5	203609637685248.5
487.5	203599101038882.7
488.5	204773535371035.75
489.5	206532782375997.28
490.5	208541277397140.44
491.5	210457189451329.94
492.5	212131553076446.97
493.5	213203654737901.28
494.5	213905428928228.03
495.5	214036082418297.22
496.5	213717065866648.78
497.5	213244407133931.16
498.5	212539619357762.8
499.5	211835445921392.62
500.5	211379146812581.1
501.5	211264131396068.8
502.5	211623255506930.53
503.5	212376745847718.34
504.5	213361745212036.25
505.5	214381227874888.84
506.5	215228604238050.1
507.5	215675071891823.06
508.5	215757808228237.38
509.5	215548819991581.06
510.5	214935181322529.5
511.5	213444108461012.22
512.5	211384338602562.56
513.5	209384344115175.06
514.5	207571825215225.84
515.5	205967084256229.5
516.5	204682630284967.75
517.5	204021876006521.62
518.5	204861298058109.44
519.5	206270297701896.16
520.5	207768989432485.38
521.5	209270063519557.16
522.5	210889990744220.53
523.5	212632597738096.94
524.5	214200474079081.66
525.5	215330728614386.78
526.5	216129983757500.9
527.5	216951987959998.0
528.5	218266481305272.34
529.5	219461969596135.72
530.5	220437376359132.53
531.5	221138435925438.72
532.5	221621432411579.3
533.5	221998671791734.88
534.5	222203473466924.25
535.5	222190112523870.0
536.5	221871998108611.56
537.5	221557958311525.47
538.5	221316473776175.5
539.5	221207411499689.62
540.5	221285519229628.1
541.5	221487571274691.3
542.5	221795166805592.47
543.5	222197699297249.28
544.5	222692447036651.06
545.5	223178357813959.06
546.5	223616243341810.12
547.5	224138582121396.66
548.5	224565834366876.53
549.5	224889305069351.06
550.5	225008695067945.66
551.5	224976190621540.25
552.5	224858011185491.97
553.5	224742462610013.84
554.5	224587795105847.72
555.5	224400499188920.2
556.5	224155968183150.75
557.5	223920848353851.38
558.5	223741621840168.88
559.5	223774206516495.5
560.5	223940443857063.9
561.5	224165240406526.0
562.5	224363355630496.4
563.5	224651451765682.84
564.5	225005726220522.75
565.5	225504103174558.03
566.5	226012463802152.8
567.5	226532090734769.38
568.5	226988125380933.94
569.5	227427714318841.2
570.5	227846059499344.84
571.5	228310231692267.12
572.5	228794406092737.4
573.5	229267969184976.4
574.5	229686410837170.9
575.5	230034312145777.25
576.5	230280602816134.4
577.5	230496873331499.47
578.5	230695892809674.75
579.5	230752827821839.38
580.5	230642313937372.12
581.5	230409665992662.22
582.5	230139456317005.34
583.5	229851027520462.22
584.5	229547615465854.75
585.5	229220257608907.44
586.5	228924746984799.3
587.5	228646224194135.66
588.5	228472370840862.22
589.5	228344013847102.84
590.5	228422874998688.56
591.5	228522139328461.6
592.5	228654034957792.34
593.5	228809503711933.3
594.5	228980511360100.56
595.5	229147352360013.25
596.5	229312650677374.6
597.5	229423110429729.7
598.5	229508832650494.03
599.5	229477063926904.44
600.5	229407424837099.22
601.5	229262079829050.03
602.5	229102303483853.3
603.5	228926411545029.88
604.5	228670556584574.5
605.5	228360433972989.47
606.5	227944463274807.22
607.5	227485531907489.9
608.5	227047607527179.78
609.5	226612594382598.6
610.5	226226499283358.75
611.5	225843660684562.75
612.5	225465926560484.75
613.5	225086653460535.4
614.5	224762907340626.2
615.5	224446029849444.97
616.5	224346083868193.56
617.5	224253825660890.22
618.5	224304378295225.97
619.5	224350774070996.53
620.5	224346782102108.8
621.5	224339844037484.47
622.5	224289269142186.75
623.5	224237914893249.1
624.5	224239069840690.4
625.5	224239076705308.56
626.5	224275632739882.47
627.5	224312734260019.22
628.5	224226797940299.3
629.5	224124346106248.66
630.5	223991664982276.94
631.5	223850229624391.5
632.5	223744556433208.66
633.5	223654228551895.2
634.5	223567869739998.1
635.5	223484184110551.47
636.5	223363045181073.6
637.5	223192517123162.97
638.5	223017022072461.16
639.5	222830860341608.9
640.5	222645335695959.94
641.5	222481553613675.56
642.5	222316177162419.62
643.5	221893911063201.97
644.5	221437654753450.0
645.5	220943181377017.66
646.5	220429270678778.12
647.5	219936960050702.16
648.5	219472985357413.78
649.5	219019482376087.84
650.5	218618834492355.34
651.5	218215918014225.44
652.5	217848775415628.03
653.5	217483249036589.3
654.5	217242999234291.66
655.5	217079211962005.66
656.5	217021565789566.2
657.5	217214309383709.66
658.5	217406633723094.5
659.5	217713558965385.3
660.5	218023976481535.78
661.5	218314898761484.7
662.5	218593257811753.62
663.5	218861940180737.25
664.5	219098516199398.44
665.5	219334811454401.5
666.5	219545643011276.9
667.5	219751314290452.78
668.5	219886905217886.06
669.5	219925507187512.66
670.5	219963241871576.28
671.5	219823758592530.7
672.5	219679278430856.5
673.5	219521257019150.7
674.5	219350116997395.34
675.5	219177279336833.12
676.5	218995722949519.2
677.5	218812670558887.97
678.5	218618161217799.06
679.5	218412918239743.1
680.5	218206122793616.38
681.5	217994220023964.72
682.5	217780754353797.94
683.5	217563928172349.44
684.5	217343242614837.38
685.5	217120982202226.28
686.5	216877595997689.06
687.5	216629652319893.16
688.5	216377144216752.38
689.5	216115069909762.38
690.5	215851323818656.72
691.5	215593177525632.97
692.5	215337301609441.16
693.5	215079880518154.6
694.5	214830164785267.44
695.5	214578836806024.9
696.5	214329489648604.3
697.5	214085525355768.75
698.5	213839979162156.0
699.5	213602300775888.47
700.5	213368163085884.4
701.5	213132485061972.28
702.5	212901513711955.38
703.5	212669419125893.62
704.5	212433239996769.66
705.5	212185265106891.56
706.5	211935732421149.56
707.5	211681986236787.72
708.5	211423149423350.47
709.5	211162737355242.3
710.5	210903497453919.38
711.5	210644171494647.25
712.5	210383282178810.6
713.5	210110359015118.7
714.5	209833695581056.75
715.5	209555433429393.84
716.5	209297963932846.34
717.5	209039184711934.0
718.5	208783856668525.03
719.5	208560426313618.75
720.5	208335567151722.06
721.5	208113825520484.6
722.5	207905084374503.28
723.5	207694966931783.94
724.5	207480185914381.72
725.5	207257024418222.84
726.5	207032458267165.5
727.5	206817541382615.72
728.5	206619310368259.4
729.5	206419754669497.84
730.5	206231656975581.56
731.5	206060689376797.44
732.5	205888482452378.47
733.5	205707829292813.56
734.5	205515951189654.44
735.5	205322786973380.2
736.5	205133087182282.0
737.5	204949249661044.06
738.5	204764158277459.97
739.5	204594483314613.0
740.5	204454600536761.12
741.5	204313592711655.16
742.5	204182766576585.25
743.5	204079959474968.25
744.5	203976136097018.72
745.5	203869269821004.7
746.5	203751473876592.56
747.5	203632629673810.75
748.5	203511972182057.0
749.5	203371879123267.1
750.5	203230686701858.94
751.5	203088394917832.44
752.5	202948664933876.97
753.5	202808298422555.12
754.5	202666843481946.47
755.5	202509142965761.1
756.5	202343809377469.1
757.5	202177330038735.56
758.5	201999420314305.12
759.5	201809619192182.1
760.5	201618616976040.66
761.5	201425632269318.12
762.5	201228966744466.34
763.5	201031091574528.53
764.5	200832006759504.78
765.5	200654656331467.16
766.5	200476866739788.53
767.5	200297929302217.4
768.5	200141526290166.5
769.5	199995716645159.56
770.5	199848851143001.22
771.5	199698431784983.75
772.5	199542304940520.7
773.5	199385103736925.16
774.5	199226828174197.3
775.5	199060041749226.4
