# λ (nm)	photon flux (γ/s/cm^2/nm)
386.5	70635515709258.31
387.5	71968308608694.44
388.5	75319506719287.0
389.5	81443379819862.2
390.5	85262689110072.98
391.5	81612848093514.75
392.5	73388543683641.7
393.5	68633110241374.87
394.5	69863702639380.664
395.5	73430979801303.1
396.5	77429403137620.17
397.5	85512082471735.97
398.5	98927527769905.8
399.5	112753633654308.88
400.5	122403783563471.78
401.5	126454995572185.81
402.5	127451140849996.66
403.5	126640556992106.53
404.5	125000785007820.88
405.5	123469860498786.2
406.5	123696961924253.47
407.5	124499062835448.5
408.5	125952926772463.58
409.5	127544995276305.84
410.5	128801614510725.25
411.5	131313162940768.14
412.5	132942017317639.89
413.5	134431100303817.86
414.5	135007280501653.03
415.5	134564832233680.88
416.5	134236168813627.61
417.5	133098313051257.78
418.5	133044239280885.56
419.5	133136837903666.52
420.5	133387230558472.1
421.5	133893994285416.1
422.5	133223442568860.06
423.5	132705749639090.0
424.5	131976581442527.7
425.5	130948655107916.95
426.5	129379523194751.52
427.5	125465479450484.48
428.5	121518158703941.1
429.5	118717899930483.19
430.5	118296627133199.64
431.5	121483169401723.5
432.5	126812919922970.9
433.5	132279619962476.42
434.5	136983360243830.81
435.5	139744417008718.67
436.5	141172852063321.47
437.5	141431280679496.34
438.5	142055662824662.44
439.5	143756807410315.16
440.5	146353617609993.3
441.5	149809190844633.47
442.5	152902227643872.12
443.5	154985108182706.88
444.5	156596173224351.6
445.5	157777431552135.9
446.5	159533092018238.38
447.5	162355043850145.44
448.5	165055633898138.88
449.5	167079357503646.47
450.5	168576031770123.44
451.5	168746581750437.4
452.5	168141308536722.44
453.5	167938077718270.4
454.5	168297034896097.1
455.5	168863855748692.28
456.5	169874123441653.7
457.5	171028671944350.9
458.5	171935828517120.88
459.5	172777199069976.62
460.5	173550988077370.4
461.5	174132797966012.75
462.5	174324163856293.6
463.5	174051986374195.16
464.5	173479079034952.78
465.5	172804508405831.62
466.5	172048999951935.22
467.5	171736798714500.56
468.5	171971999761147.75
469.5	172508629958372.3
470.5	173373481675447.84
471.5	174557556324678.0
472.5	175796808675483.62
473.5	176973819378576.44
474.5	178186840047455.3
475.5	179337477831557.88
476.5	180318893486136.97
477.5	181306054359113.16
478.5	182194838500728.84
