# wavelength (nm)	photon flux (γ/s/cm^2/nm)
0.50	425462.32
1.50	35867137.04
2.50	49280209.28
3.50	57517142.07
4.50	86675482.95
5.50	142923744.84
6.50	214037171.75
7.50	195345419.56
8.50	201849856.63
9.50	181274700.67
10.50	145516910.65
11.50	104729952.71
12.50	62310091.56
13.50	69355893.45
14.50	159405390.38
15.50	164621415.64
16.50	248423113.49
17.50	1530915459.30
18.50	1407932085.72
19.50	1176661862.36
20.50	894324308.28
21.50	693751071.54
22.50	855179406.88
23.50	506601267.73
24.50	662361407.08
25.50	1177285277.69
26.50	381858760.94
27.50	531950271.66
28.50	795936696.35
29.50	285064563.84
30.50	7675753546.63
31.50	541210187.14
32.50	198490831.57
33.50	714740819.00
34.50	719185458.80
35.50	551944813.36
36.50	1206165434.15
37.50	54183123.30
38.50	76746567.81
39.50	49998479.22
40.50	181044039.36
41.50	174718402.82
42.50	130775639.45
43.50	273921684.97
44.50	169748032.35
45.50	172921837.83
46.50	459462146.16
47.50	221492505.14
48.50	348619841.20
49.50	541514762.38
50.50	564457257.62
51.50	228681020.55
52.50	273974140.14
53.50	232393904.55
54.50	155066458.76
55.50	814830520.86
56.50	208362440.85
57.50	185820887.47
58.50	1546717205.81
59.50	256327783.34
60.50	649609866.26
61.50	536885645.73
62.50	1238307600.02
63.50	1069598834.67
64.50	149718754.36
65.50	138693147.93
66.50	155555033.06
67.50	128173253.48
68.50	268951661.08
69.50	205369726.29
70.50	450284950.00
71.50	181096050.03
72.50	185187658.42
73.50	123863876.51
74.50	177999915.34
75.50	242075517.98
76.50	627552307.80
77.50	562740176.65
78.50	806321404.56
79.50	583968178.30
80.50	468201694.56
81.50	504452333.29
82.50	618292541.29
83.50	1418384405.86
84.50	882088441.03
85.50	1076931959.86
86.50	1236386115.63
87.50	1495487038.36
88.50	1788575840.32
89.50	2084287655.57
90.50	2513289683.07
91.50	2207132126.72
92.50	790065003.01
93.50	834400732.56
94.50	615545007.35
95.50	509994504.06
96.50	374899771.59
97.50	6287300251.99
98.50	780235959.99
99.50	1162645496.77
100.50	568859651.90
101.50	707568071.55
102.50	5675880556.45
103.50	5157745431.06
104.50	934243369.86
105.50	832623864.14
106.50	899481973.58
107.50	1025424483.92
108.50	1573561280.97
109.50	1163487705.88
110.50	1346021237.27
111.50	1271606123.18
112.50	1337188016.82
113.50	907137343.94
114.50	1109990256.63
115.50	1179694966.80
116.50	1454105551.36
117.50	5084279618.17
118.50	2005762428.31
119.50	3386401436.26
120.50	10288601343.19
121.50	440165625565.95
122.50	4283981776.34
123.50	2757307422.78
124.50	2062473588.89
125.50	1841171116.31
126.50	2584796302.44
127.50	1335717401.15
128.50	1073388077.27
129.50	1270634221.25
130.50	10823287126.47
131.50	1755892813.66
132.50	1415936940.34
133.50	13592278524.00
134.50	1334321465.94
135.50	3033932115.91
136.50	1926284319.35
137.50	2088817159.67
138.50	2074641930.78
139.50	5810134296.71
140.50	4997243892.75
141.50	2958373629.14
142.50	3217920691.22
143.50	3695129331.42
144.50	3664648812.76
145.50	3896794936.61
146.50	4854016382.43
147.50	6003264840.53
148.50	6210646815.58
149.50	5639400523.19
150.50	6345639661.94
151.50	6903880455.78
152.50	8691011671.19
153.50	9644499673.01
154.50	16413196121.34
155.50	14751652454.98
156.50	14846187720.09
157.50	13153246679.75
158.50	13173097821.71
159.50	13042667572.19
160.50	14764409372.17
161.50	17496337056.04
162.50	20350725676.63
163.50	21821673332.33
164.50	25561783931.99
165.50	40749225500.55
166.50	27848310217.33
167.50	33504053098.90
168.50	36596041830.16
169.50	48736545276.18
170.50	56590303501.36
171.50	57501384143.27
172.50	63459042785.99
173.50	64425827095.28
174.50	79752697655.70
175.50	98482445668.58
176.50	107191651826.14
177.50	131187305060.87
178.50	147037017808.63
179.50	147390196951.40
180.50	184691235788.31
181.50	219040770449.74
182.50	212586976808.53
183.50	229359029831.98
184.50	199330633111.98
185.50	228857242177.28
186.50	267674880269.64
187.50	301834911711.44
188.50	325670306368.85
189.50	190486888498.10
190.50	201346291695.66
191.50	215719212786.11
192.50	232840066185.92
193.50	180724504781.63
194.50	297136434001.24
195.50	291268826192.43
196.50	329936328918.95
197.50	337526256177.17
198.50	341242080920.67
199.50	372051943604.57
200.50	407832206331.55
201.50	457150112879.28
202.50	453782059219.08
203.50	527898888190.66
204.50	586284286785.39
205.50	605368345521.42
206.50	629984978046.83
207.50	730708959023.07
208.50	841897289756.11
209.50	1216706867785.11
210.50	1591593450144.60
211.50	1928643957821.35
212.50	1850143421869.84
213.50	1676704479186.09
214.50	2389087532879.36
215.50	1969134537576.93
216.50	1903945596441.17
217.50	1842815826034.72
218.50	2628669697959.49
219.50	2770755825775.63
220.50	2746638045955.57
221.50	1958576291697.35
222.50	2901426754029.24
223.50	3703307979557.47
224.50	3433794699705.59
225.50	3035603334773.96
226.50	2148018841207.36
227.50	2181212314621.40
228.50	3142102143913.83
229.50	2674782156504.39
230.50	3278265122297.48
231.50	2841273162531.73
232.50	3077501690684.95
233.50	2602078906386.72
234.50	2113098820310.72
235.50	3417712959259.42
236.50	2639523665774.80
237.50	3221721558691.38
238.50	2219771430394.60
239.50	2754927415985.68
240.50	2540183142267.60
241.50	2979035795891.17
