# λ (nm)	photon flux (γ/s/cm^2/nm)
138.5	1001469032.147486
139.5	3099526579.4843197
140.5	2567570462.4687257
141.5	1398592611.8129723
142.5	1495168870.9122882
143.5	1709510047.5927052
144.5	1673645562.4045935
145.5	1823597135.6959174
146.5	2195095489.9621015
147.5	2769022633.739094
148.5	2775666292.9658628
149.5	2501355474.227494
150.5	2864832277.1321115
151.5	3094086138.3446817
152.5	4021695460.329898
153.5	4510219411.063802
154.5	8104676333.719116
155.5	7065935412.268099
156.5	6571605403.576097
157.5	6046954313.5874405
158.5	5799676681.862662
159.5	5695606761.75955
160.5	6512839288.1011305
161.5	7617137799.069979
162.5	8952563988.37432
163.5	9631435569.79786
164.5	11789053272.138317
165.5	17870849438.332367
166.5	12280557942.765734
167.5	15234774549.775639
168.5	15786855088.30435
169.5	21065418634.963608
170.5	24297596889.51496
171.5	24621582816.184322
172.5	27549033221.0088
173.5	27647699315.23703
174.5	33916108218.792416
175.5	42120094825.4514
176.5	45240886694.492836
177.5	55898634120.836555
178.5	63063913903.69942
179.5	65234733049.968414
180.5	84084212364.3118
181.5	101949162378.79468
182.5	96666939824.0557
183.5	103810823186.53581
184.5	90623011057.99823
185.5	103503120273.85431
186.5	120680367121.12495
187.5	133787794718.14963
188.5	136010854333.91806
189.5	109191173888.1018
190.5	161978761059.2594
191.5	176380830093.52344
192.5	188849585802.6305
193.5	146201449712.4879
194.5	242996772518.4301
195.5	237438699635.2276
196.5	269220717869.2789
197.5	276838368461.5074
198.5	282238702134.4735
199.5	306828023198.0023
200.5	334105159838.4177
201.5	375589885726.8978
202.5	373608483313.4049
203.5	436124878853.2334
204.5	484333885641.86884
205.5	499679058854.37823
206.5	519208679227.69025
207.5	601259294413.8723
208.5	690627125795.956
209.5	1000456017077.3091
210.5	1306085620885.5098
211.5	1595977723787.1208
212.5	1529675077759.6758
213.5	1385181714317.3813
214.5	1981254047191.3289
215.5	1626682617032.2139
216.5	1574655758002.3074
217.5	1531733823185.2573
218.5	2174756749954.8032
219.5	2295190696426.8813
220.5	2273814507131.9824
221.5	1626673407222.959
222.5	2394871753220.718
223.5	3061619018671.011
224.5	2816160235084.833
225.5	2498338882024.2104
226.5	1764501176632.0613
227.5	1798011274458.229
228.5	2579247842583.901
229.5	2199332639685.5024
230.5	2692921114355.6045
231.5	2329614827750.6895
232.5	2533119399609.863
233.5	2126897274379.8418
234.5	1739413048660.4197
235.5	2795086457631.077
236.5	2164658267750.7065
237.5	2634938015876.6353
238.5	1818726446588.6213
239.5	2260249273596.6123
240.5	2089505549524.0056
241.5	2444908286264.069
242.5	3690943062454.2563
243.5	3387657328026.4766
244.5	3241427731430.1016
245.5	2565087715368.721
246.5	2574145282274.533
247.5	2978817028604.477
248.5	2309010888109.5903
249.5	2963706520335.4224
250.5	3120945985788.071
251.5	2421163091220.8286
252.5	2143418580521.6924
253.5	2751193206338.856
254.5	3072376937946.5176
255.5	4378548015984.977
256.5	5283462127066.119
257.5	6595697602413.528
258.5	7039178108453.7
259.5	5930448539218.171
260.5	4807118997482.733
261.5	4695654385041.372
262.5	5979540678016.863
263.5	8803332861316.314
264.5	13876775856214.064
265.5	14547206206043.361
266.5	14226268233603.752
267.5	14308371138066.803
268.5	14381843106175.396
269.5	12825370699986.238
270.5	16310889898389.336
271.5	13712482627743.87
272.5	10808067412506.582
273.5	12489233618183.393
274.5	7343484826696.991
275.5	10537121094784.162
276.5	14767555181134.441
277.5	14719708900798.896
278.5	9735014352701.9
279.5	4706023189875.862
280.5	5411409321996.964
281.5	12748090989091.504
282.5	17946083398273.492
283.5	20094666755134.9
