time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
2003305,126.5,5.048588354839012E-5,0.0488276332616806
2003305,127.5,2.5421515601919964E-5,0.03614387661218643
2003305,128.5,1.9862447516061366E-5,0.037554044276475906
2003305,129.5,2.9260190785862505E-5,0.1138402447104454
2003305,130.5,1.9032374257221818E-4,0.09083501994609833
2003305,131.5,3.1076298910193145E-5,0.10949449986219406
2003305,132.5,2.5072009520954452E-5,0.1297667771577835
2003305,133.5,2.619842707645148E-4,0.10796584188938141
2003305,134.5,2.316918471478857E-5,0.13355036079883575
2003305,135.5,4.970339796273038E-5,0.10830608010292053
2003305,136.5,3.173003642586991E-5,0.10884220898151398
2003305,137.5,3.42939565598499E-5,0.11537018418312073
2003305,138.5,3.379777990630828E-5,0.122168630361557
2003305,139.5,1.0142772225663066E-4,0.10665726661682129
2003305,140.5,8.342928776983172E-5,0.10598776489496231
2003305,141.5,4.584375346894376E-5,0.11243931204080582
2003305,142.5,5.016869545215741E-5,0.10876765102148056
2003305,143.5,5.617877468466759E-5,0.10822930186986923
2003305,144.5,5.561673242482357E-5,0.1033867746591568
2003305,145.5,6.126562220742926E-5,0.10273289680480957
2003305,146.5,7.272425864357501E-5,0.1013379767537117
2003305,147.5,9.11210518097505E-5,0.09552677720785141
2003305,148.5,9.138003224506974E-5,0.09588276594877243
2003305,149.5,8.271435945061967E-5,0.09938256442546844
2003305,150.5,9.097827569348738E-5,0.09792125225067139
2003305,151.5,1.0092350566992536E-4,0.0944783017039299
2003305,152.5,1.286218175664544E-4,0.09246689081192017
2003305,153.5,1.3819258310832083E-4,0.09162332117557526
2003305,154.5,2.5300454581156373E-4,0.09518501162528992
2003305,155.5,2.111562353093177E-4,0.0911630392074585
2003305,156.5,2.0130319171585143E-4,0.08898814767599106
2003305,157.5,1.7976303934119642E-4,0.08986330032348633
2003305,158.5,1.7649520304985344E-4,0.09065872430801392
2003305,159.5,1.742120657581836E-4,0.09071996808052063
2003305,160.5,1.8851323693525046E-4,0.09142987430095673
2003305,161.5,2.255885920021683E-4,0.09093998372554779
2003305,162.5,2.614766708575189E-4,0.08836700767278671
2003305,163.5,2.7793642948381603E-4,0.08877504616975784
2003305,164.5,3.309751336928457E-4,0.08853436261415482
