time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
281.5,0.50,2.4378591767437728E-5,0.031431589275598526
281.5,1.50,3.3178915182361377E-4,0.031431589275598526
281.5,2.50,9.468050466239219E-5,0.031431589275598526
281.5,3.50,5.42280737136025E-5,0.031431589275598526
281.5,4.50,8.480127980874386E-5,0.031431589275598526
281.5,5.50,7.238704056362621E-5,0.031431589275598526
281.5,6.50,8.295579573314171E-5,0.031431589275598526
281.5,7.50,1.5401654236484318E-4,0.031431589275598526
281.5,8.50,1.319361530477181E-4,0.031431589275598526
281.5,9.50,1.0093575474456884E-4,0.031431589275598526
281.5,10.50,6.949067865207326E-5,0.031431589275598526
281.5,11.50,4.408285276440438E-5,0.031431589275598526
281.5,12.50,2.669984860403929E-5,0.031431589275598526
281.5,13.50,2.7041481735068375E-5,0.031431589275598526
281.5,14.50,5.534670744964387E-5,0.031431589275598526
281.5,15.50,6.305219649220817E-5,0.031431589275598526
281.5,16.50,1.1898091797775123E-4,0.031431589275598526
281.5,17.50,5.799086386105046E-4,0.031431589275598526
281.5,18.50,3.6640743201132864E-4,0.031431589275598526
281.5,19.50,3.4620407604961655E-4,0.031431589275598526
281.5,20.50,2.7879820408998056E-4,0.031431589275598526
281.5,21.50,2.4185244328691624E-4,0.031431589275598526
281.5,22.50,2.1034409219282678E-4,0.031431589275598526
281.5,23.50,1.1882285616593435E-4,0.031431589275598526
281.5,24.50,1.5716735215391963E-4,0.031431589275598526
281.5,25.50,2.5486393133178353E-4,0.031431589275598526
281.5,26.50,1.1170893885719124E-4,0.031431589275598526
281.5,27.50,1.2756759097101166E-4,0.031431589275598526
281.5,28.50,2.8756570318364536E-4,0.031431589275598526
281.5,29.50,5.751933804276632E-5,0.031431589275598526
281.5,30.50,0.0012583328414621064,0.031431589275598526
281.5,31.50,9.921918754116633E-5,0.031431589275598526
281.5,32.50,4.8290641643689014E-5,0.031431589275598526
281.5,33.50,2.220888682131772E-4,0.031431589275598526
281.5,34.50,1.1442735449236352E-4,0.031431589275598526
281.5,35.50,1.1238636216148734E-4,0.031431589275598526
281.5,36.50,2.3202084848890082E-4,0.031431589275598526
281.5,37.50,1.5366311299658263E-5,0.031431589275598526
281.5,38.50,1.0231797432425083E-5,0.031431589275598526
281.5,39.50,9.195804068440339E-6,0.031431589275598526
